18:00 - 19:00,351,,n/e,n/e,n/e,n/e,7191,,36,,217,,n/e,n/e,n/e,n/e,n/e,n/e,2062,,5415,,2441,,n/e,n/e,55949,,n/e,n/e,n/e,n/e,0,,258,,n/e,n/e,2872,
19:00 - 20:00,351,,n/e,n/e,n/e,n/e,7233,,36,,217,,n/e,n/e,n/e,n/e,n/e,n/e,2157,,5468,,2921,,n/e,n/e,56045,,n/e,n/e,n/e,n/e,0,,259,,n/e,n/e,2935,
20:00 - 21:00,351,,n/e,n/e,n/e,n/e,7199,,35,,217,,n/e,n/e,n/e,n/e,n/e,n/e,1462,,4917,,2299,,n/e,n/e,56044,,n/e,n/e,n/e,n/e,0,,259,,n/e,n/e,2966,
21:00 - 22:00,351,,n/e,n/e,n/e,n/e,7259,,37,,217,,n/e,n/e,n/e,n/e,n/e,n/e,478,,4475,,1671,,n/e,n/e,55999,,n/e,n/e,n/e,n/e,0,,260,,n/e,n/e,2958,
22:00 - 23:00,351,,n/e,n/e,n/e,n/e,7273,,38,,217,,n/e,n/e,n/e,n/e,n/e,n/e,1206,,4194,,1123,,n/e,n/e,55985,,n/e,n/e,n/e,n/e,0,,260,,n/e,n/e,2961,
23:00 - 00:00,351,,n/e,n/e,n/e,n/e,7150,,39,,217,,n/e,n/e,n/e,n/e,n/e,n/e,1086,,4144,,1207,,n/e,n/e,55821,,n/e,n/e,n/e,n/e,0,,261,,n/e,n/e,2890,
00:00 - 01:00,351,,n/e,n/e,n/e,n/e,7263,,38,,216,,n/e,n/e,n/e,n/e,n/e,n/e,,203,3818,,1331,,n/e,n/e,55871,,n/e,n/e,n/e,n/e,0,,261,,n/e,n/e,2827,
01:00 - 02:00,351,,n/e,n/e,n/e,n/e,7247,,131,,217,,n/e,n/e,n/e,n/e,n/e,n/e,,1333,3404,,921,,n/e,n/e,55836,,n/e,n/e,n/e,n/e,0,,260,,n/e,n/e,2839,
02:00 - 03:00,351,,n/e,n/e,n/e,n/e,7187,,239,,217,,n/e,n/e,n/e,n/e,n/e,n/e,,2045,3158,,885,,n/e,n/e,55822,,n/e,n/e,n/e,n/e,0,,259,,n/e,n/e,2835,
03:00 - 04:00,351,,n/e,n/e,n/e,n/e,6878,,298,,217,,n/e,n/e,n/e,n/e,n/e,n/e,,2883,3048,,446,,n/e,n/e,55503,,n/e,n/e,n/e,n/e,0,,259,,n/e,n/e,2868,
04:00 - 05:00,349,,n/e,n/e,n/e,n/e,6362,,332,,216,,n/e,n/e,n/e,n/e,n/e,n/e,,2739,2995,,389,,n/e,n/e,55337,,n/e,n/e,n/e,n/e,0,,259,,n/e,n/e,2834,
05:00 - 06:00,343,,n/e,n/e,n/e,n/e,7177,,351,,216,,n/e,n/e,n/e,n/e,n/e,n/e,,2061,2985,,484,,n/e,n/e,55717,,n/e,n/e,n/e,n/e,0,,258,,n/e,n/e,2877,
06:00 - 07:00,342,,n/e,n/e,n/e,n/e,7303,,396,,216,,n/e,n/e,n/e,n/e,n/e,n/e,,90,3267,,1458,,n/e,n/e,55806,,n/e,n/e,n/e,n/e,0,,256,,n/e,n/e,2935,
07:00 - 08:00,342,,n/e,n/e,n/e,n/e,7263,,583,,217,,n/e,n/e,n/e,n/e,n/e,n/e,643,,3935,,2460,,n/e,n/e,55977,,n/e,n/e,n/e,n/e,0,,255,,n/e,n/e,2978,
08:00 - 09:00,342,,n/e,n/e,n/e,n/e,7363,,574,,216,,n/e,n/e,n/e,n/e,n/e,n/e,1403,,4439,,2491,,n/e,n/e,56081,,n/e,n/e,n/e,n/e,141,,254,,n/e,n/e,2848,
09:00 - 10:00,342,,n/e,n/e,n/e,n/e,7403,,613,,217,,n/e,n/e,n/e,n/e,n/e,n/e,1838,,4953,,2611,,n/e,n/e,56144,,n/e,n/e,n/e,n/e,617,,254,,n/e,n/e,2570,
10:00 - 11:00,344,,n/e,n/e,n/e,n/e,7426,,621,,217,,n/e,n/e,n/e,n/e,n/e,n/e,1636,,5167,,2655,,n/e,n/e,56084,,n/e,n/e,n/e,n/e,1588,,252,,n/e,n/e,2259,
11:00 - 12:00,344,,n/e,n/e,n/e,n/e,7393,,563,,217,,n/e,n/e,n/e,n/e,n/e,n/e,1110,,4935,,2338,,n/e,n/e,56087,,n/e,n/e,n/e,n/e,2536,,254,,n/e,n/e,1754,
12:00 - 13:00,346,,n/e,n/e,n/e,n/e,7183,,613,,217,,n/e,n/e,n/e,n/e,n/e,n/e,840,,5018,,1917,,n/e,n/e,56173,,n/e,n/e,n/e,n/e,2941,,253,,n/e,n/e,1588,
13:00 - 14:00,346,,n/e,n/e,n/e,n/e,7208,,623,,217,,n/e,n/e,n/e,n/e,n/e,n/e,793,,4758,,1748,,n/e,n/e,56165,,n/e,n/e,n/e,n/e,2990,,254,,n/e,n/e,1552,
14:00 - 15:00,346,,n/e,n/e,n/e,n/e,7251,,581,,218,,n/e,n/e,n/e,n/e,n/e,n/e,891,,4419,,1322,,n/e,n/e,56107,,n/e,n/e,n/e,n/e,2399,,254,,n/e,n/e,1693,
15:00 - 16:00,343,,n/e,n/e,n/e,n/e,7269,,470,,218,,n/e,n/e,n/e,n/e,n/e,n/e,798,,4283,,1122,,n/e,n/e,56104,,n/e,n/e,n/e,n/e,1508,,253,,n/e,n/e,1786,
16:00 - 17:00,344,,n/e,n/e,n/e,n/e,7290,,447,,217,,n/e,n/e,n/e,n/e,n/e,n/e,776,,4453,,1455,,n/e,n/e,56124,,n/e,n/e,n/e,n/e,576,,252,,n/e,n/e,1824,
17:00 - 18:00,344,,n/e,n/e,n/e,n/e,7451,,511,,217,,n/e,n/e,n/e,n/e,n/e,n/e,1347,,4833,,2164,,n/e,n/e,56126,,n/e,n/e,n/e,n/e,127,,252,,n/e,n/e,2003,
18:00 - 19:00,343,,n/e,n/e,n/e,n/e,7792,,575,,217,,n/e,n/e,n/e,n/e,n/e,n/e,1936,,5233,,2205,,n/e,n/e,56122,,n/e,n/e,n/e,n/e,0,,251,,n/e,n/e,2350,
19:00 - 20:00,345,,n/e,n/e,n/e,n/e,7759,,620,,217,,n/e,n/e,n/e,n/e,n/e,n/e,2298,,5311,,2584,,n/e,n/e,56128,,n/e,n/e,n/e,n/e,0,,252,,n/e,n/e,2404,
