01:00 - 02:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,206,,2262,,11486,,n/e,n/e,n/e,n/e,0,,69,,n/e,n/e,31,,n/e,n/e,436,
02:00 - 03:00,0,,n/e,n/e,n/e,n/e,211,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,206,,2286,,10997,,n/e,n/e,n/e,n/e,0,,69,,n/e,n/e,34,,n/e,n/e,503,
03:00 - 04:00,0,,n/e,n/e,n/e,n/e,205,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,207,,2261,,10542,,n/e,n/e,n/e,n/e,0,,70,,n/e,n/e,35,,n/e,n/e,443,
04:00 - 05:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,211,,2277,,10631,,n/e,n/e,n/e,n/e,0,,71,,n/e,n/e,35,,n/e,n/e,409,
05:00 - 06:00,0,,n/e,n/e,n/e,n/e,209,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,210,,2274,,11761,,n/e,n/e,n/e,n/e,0,,67,,n/e,n/e,33,,n/e,n/e,463,
06:00 - 07:00,0,,n/e,n/e,n/e,n/e,214,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,229,,2341,,14315,,n/e,n/e,n/e,n/e,0,,69,,n/e,n/e,26,,n/e,n/e,563,
07:00 - 08:00,0,,n/e,n/e,n/e,n/e,211,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,425,,2357,,17021,,n/e,n/e,n/e,n/e,0,,62,,n/e,n/e,21,,n/e,n/e,607,
08:00 - 09:00,0,,n/e,n/e,n/e,n/e,210,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,523,,2395,,17393,,n/e,n/e,n/e,n/e,0,,64,,n/e,n/e,18,,n/e,n/e,567,
09:00 - 10:00,0,,n/e,n/e,n/e,n/e,200,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,506,,2442,,17328,,n/e,n/e,n/e,n/e,0,,67,,n/e,n/e,17,,n/e,n/e,736,
10:00 - 11:00,0,,n/e,n/e,n/e,n/e,211,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,520,,2418,,17551,,n/e,n/e,n/e,n/e,0,,67,,n/e,n/e,18,,n/e,n/e,741,
