end,production_resource_name,start,avail_qty,nominal_power
2023-09-21 00:15:00+00:00,Olkiluoto 3,2023-09-21 00:00:00+00:00,910,1600.0
2023-09-21 00:30:00+00:00,Olkiluoto 3,2023-09-21 00:15:00+00:00,910,1600.0
2023-09-21 01:00:00+00:00,Olkiluoto 3,2023-09-21 00:30:00+00:00,870,1600.0
2023-11-30 18:00:00+00:00,Olkiluoto 3,2023-10-04 07:30:00+00:00,31486,48000.0
2023-10-04 07:30:00+00:00,Olkiluoto 3,2023-09-21 01:00:00+00:00,870,1600.0
2023-12-18 07:00:00+00:00,Olkiluoto 3,2023-11-30 18:00:00+00:00,870,1600.0
2023-12-18 08:00:00+00:00,Olkiluoto 3,2023-12-18 07:00:00+00:00,1570,1600.0
2023-12-21 18:00:00+00:00,Olkiluoto 3,2023-12-21 15:15:00+00:00,5960,6400.0
2023-12-21 15:15:00+00:00,Olkiluoto 3,2023-12-18 08:00:00+00:00,1490,1600.0
2023-12-28 15:00:00+00:00,Olkiluoto 3,2023-12-21 18:00:00+00:00,1490,1600.0
2023-12-28 15:30:00+00:00,Olkiluoto 3,2023-12-28 15:00:00+00:00,1480,1600.0
2023-12-28 16:00:00+00:00,Olkiluoto 3,2023-12-28 15:30:00+00:00,1570,1600.0
2024-01-01 00:00:00+00:00,Olkiluoto 3,2023-12-28 16:00:00+00:00,1570,1600.0
2023-01-14 16:00:00+00:00,Salmisaari,2023-01-11 10:00:00+00:00,0,155.0
2023-01-14 16:15:00+00:00,Salmisaari,2023-01-14 16:00:00+00:00,0,155.0
2023-03-30 12:30:00+00:00,Seinäjoki,2023-03-30 12:15:00+00:00,0,120.0
2023-03-30 13:00:00+00:00,Seinäjoki,2023-03-30 12:30:00+00:00,0,120.0
2023-04-24 23:00:00+00:00,Seinäjoki,2023-03-30 13:00:00+00:00,0,120.0
2023-05-21 22:15:00+00:00,Seinäjoki,2023-05-21 22:00:00+00:00,0,120.0
2023-05-21 22:30:00+00:00,Seinäjoki,2023-05-21 22:15:00+00:00,0,120.0
2023-05-21 23:00:00+00:00,Seinäjoki,2023-05-21 22:30:00+00:00,0,120.0
2023-06-22 21:00:00+00:00,Seinäjoki,2023-05-21 23:00:00+00:00,0,120.0
2023-06-22 21:30:00+00:00,Seinäjoki,2023-06-22 21:00:00+00:00,0,120.0
2023-06-22 21:45:00+00:00,Seinäjoki,2023-06-22 21:30:00+00:00,0,120.0
2023-06-22 22:00:00+00:00,Seinäjoki,2023-06-22 21:45:00+00:00,0,120.0
2023-11-15 14:00:00+00:00,Seinäjoki,2023-11-15 06:00:00+00:00,0,120.0
2023-12-14 14:00:00+00:00,Seinäjoki,2023-12-14 06:00:00+00:00,0,120.0
2023-03-19 20:00:00+00:00,Suomenoja,2023-03-19 20:00:00+00:00,0,170.0
2023-03-21 10:00:00+00:00,Suomenoja,2023-03-19 20:00:00+00:00,0,170.0
2023-04-03 05:30:00+00:00,Suomenoja,2023-04-03 05:15:00+00:00,0,170.0
2023-04-03 06:00:00+00:00,Suomenoja,2023-04-03 05:30:00+00:00,0,170.0
2023-04-03 11:00:00+00:00,Suomenoja,2023-04-03 06:00:00+00:00,0,170.0
2023-04-03 11:15:00+00:00,Suomenoja,2023-04-03 11:00:00+00:00,0,170.0
2023-04-03 11:15:00+00:00,Suomenoja,2023-04-03 11:15:00+00:00,0,170.0
2023-09-15 16:00:00+00:00,Suomenoja,2023-09-02 05:00:00+00:00,0,170.0
2023-09-17 05:45:00+00:00,Suomenoja,2023-09-17 05:45:00+00:00,0,170.0
2023-09-17 06:00:00+00:00,Suomenoja,2023-09-17 05:45:00+00:00,0,170.0
2023-09-18 09:00:00+00:00,Suomenoja,2023-09-17 06:00:00+00:00,0,170.0
2023-11-26 12:30:00+00:00,Suomenoja,2023-11-26 12:15:00+00:00,0,170.0
2023-11-26 13:00:00+00:00,Suomenoja,2023-11-26 12:30:00+00:00,0,170.0
2023-11-26 14:00:00+00:00,Suomenoja,2023-11-26 13:00:00+00:00,0,170.0
2023-11-26 14:30:00+00:00,Suomenoja,2023-11-26 14:00:00+00:00,0,170.0
2023-12-14 22:00:00+00:00,Suomenoja,2023-12-13 22:00:00+00:00,0,170.0
2023-01-15 22:30:00+00:00,Vaskiluoto,2023-01-15 22:15:00+00:00,0,223.0
2023-01-15 23:00:00+00:00,Vaskiluoto,2023-01-15 22:30:00+00:00,0,223.0
2023-01-16 17:00:00+00:00,Vaskiluoto,2023-01-15 23:00:00+00:00,0,223.0
2023-01-16 17:30:00+00:00,Vaskiluoto,2023-01-16 17:00:00+00:00,0,223.0
2023-01-16 17:45:00+00:00,Vaskiluoto,2023-01-16 17:30:00+00:00,0,223.0
2023-01-16 17:45:00+00:00,Vaskiluoto,2023-01-16 17:45:00+00:00,0,223.0
2023-01-24 14:00:00+00:00,Vaskiluoto,2023-01-24 13:30:00+00:00,0,223.0
2023-01-24 13:30:00+00:00,Vaskiluoto,2023-01-24 13:30:00+00:00,0,223.0
2023-01-26 23:00:00+00:00,Vaskiluoto,2023-01-24 14:00:00+00:00,0,223.0
2023-01-26 23:00:00+00:00,Vaskiluoto,2023-01-26 23:00:00+00:00,90,223.0
2023-02-10 11:00:00+00:00,Vaskiluoto,2023-02-07 07:00:00+00:00,0,223.0
2023-02-10 11:30:00+00:00,Vaskiluoto,2023-02-10 11:00:00+00:00,0,223.0
2023-02-10 11:30:00+00:00,Vaskiluoto,2023-02-10 11:30:00+00:00,0,223.0
2023-02-13 15:45:00+00:00,Vaskiluoto,2023-02-13 15:30:00+00:00,35,223.0
2023-02-13 16:00:00+00:00,Vaskiluoto,2023-02-13 15:45:00+00:00,35,223.0
2023-02-13 23:00:00+00:00,Vaskiluoto,2023-02-13 16:00:00+00:00,35,223.0
2023-02-13 23:00:00+00:00,Vaskiluoto,2023-02-13 23:00:00+00:00,35,223.0
2023-02-17 09:30:00+00:00,Vaskiluoto,2023-02-17 09:15:00+00:00,0,223.0
2023-02-17 10:00:00+00:00,Vaskiluoto,2023-02-17 09:30:00+00:00,0,223.0
2023-02-17 11:00:00+00:00,Vaskiluoto,2023-02-17 10:00:00+00:00,0,223.0
2023-02-17 11:30:00+00:00,Vaskiluoto,2023-02-17 11:00:00+00:00,0,223.0
2023-02-17 11:30:00+00:00,Vaskiluoto,2023-02-17 11:30:00+00:00,0,223.0
2023-02-21 01:00:00+00:00,Vaskiluoto,2023-02-21 00:45:00+00:00,0,223.0
2023-02-21 08:00:00+00:00,Vaskiluoto,2023-02-21 01:00:00+00:00,0,223.0
2023-02-25 09:45:00+00:00,Vaskiluoto,2023-02-25 09:15:00+00:00,0,223.0
2023-02-25 09:15:00+00:00,Vaskiluoto,2023-02-25 09:15:00+00:00,0,223.0
2023-02-25 09:45:00+00:00,Vaskiluoto,2023-02-25 09:45:00+00:00,0,223.0
2023-04-18 03:45:00+00:00,Vaskiluoto,2023-04-18 03:30:00+00:00,0,223.0
2023-04-18 04:00:00+00:00,Vaskiluoto,2023-04-18 03:45:00+00:00,0,223.0
2023-04-18 04:30:00+00:00,Vaskiluoto,2023-04-18 04:00:00+00:00,0,223.0
2023-04-18 04:45:00+00:00,Vaskiluoto,2023-04-18 04:30:00+00:00,0,223.0
2023-04-18 05:00:00+00:00,Vaskiluoto,2023-04-18 04:45:00+00:00,0,223.0
2023-04-18 08:00:00+00:00,Vaskiluoto,2023-04-18 05:00:00+00:00,35,223.0
2023-07-19 23:00:00+00:00,Vaskiluoto,2023-06-25 22:00:00+00:00,0,223.0
2023-08-21 07:00:00+00:00,Vaskiluoto,2023-08-21 06:45:00+00:00,0,223.0
2023-08-22 04:00:00+00:00,Vaskiluoto,2023-08-21 07:00:00+00:00,0,223.0
2023-08-22 05:00:00+00:00,Vaskiluoto,2023-08-22 04:00:00+00:00,0,223.0
2023-08-22 11:00:00+00:00,Vaskiluoto,2023-08-22 05:00:00+00:00,50,223.0
2023-08-22 11:30:00+00:00,Vaskiluoto,2023-08-22 11:00:00+00:00,80,223.0
2023-08-22 11:45:00+00:00,Vaskiluoto,2023-08-22 11:30:00+00:00,80,223.0
2023-08-22 11:45:00+00:00,Vaskiluoto,2023-08-22 11:45:00+00:00,80,223.0
2023-08-23 17:00:00+00:00,Vaskiluoto,2023-08-23 16:45:00+00:00,0,223.0
2023-08-25 00:00:00+00:00,Vaskiluoto,2023-08-23 17:00:00+00:00,0,223.0
2023-08-25 00:30:00+00:00,Vaskiluoto,2023-08-25 00:00:00+00:00,0,223.0
2023-08-25 04:45:00+00:00,Vaskiluoto,2023-08-25 04:30:00+00:00,100,223.0
2023-08-25 05:00:00+00:00,Vaskiluoto,2023-08-25 04:45:00+00:00,100,223.0
2023-08-25 06:00:00+00:00,Vaskiluoto,2023-08-25 05:00:00+00:00,100,223.0
2023-08-25 06:15:00+00:00,Vaskiluoto,2023-08-25 06:00:00+00:00,100,223.0
2023-08-25 06:30:00+00:00,Vaskiluoto,2023-08-25 06:15:00+00:00,100,223.0
2023-09-03 09:15:00+00:00,Vaskiluoto,2023-09-03 09:00:00+00:00,0,223.0
2023-09-03 09:30:00+00:00,Vaskiluoto,2023-09-03 09:15:00+00:00,0,223.0
2023-09-03 10:00:00+00:00,Vaskiluoto,2023-09-03 09:30:00+00:00,0,223.0
2023-11-15 02:00:00+00:00,Vaskiluoto,2023-11-15 01:45:00+00:00,90,223.0
2023-11-15 05:00:00+00:00,Vaskiluoto,2023-11-15 02:00:00+00:00,90,223.0
2023-11-15 05:15:00+00:00,Vaskiluoto,2023-11-15 05:00:00+00:00,90,223.0
2023-12-02 06:00:00+00:00,Vaskiluoto,2023-12-02 05:30:00+00:00,0,223.0
