end,production_resource_name,start,avail_qty,nominal_power,Total_Capacity,Outage_Factor
2023-04-02 13:30:00+00:00,Alqueva,2023-04-02 13:15:00+00:00,0,127.0,,0.0
2023-04-02 14:30:00+00:00,Alqueva,2023-04-02 13:30:00+00:00,0,127.0,,0.0
2023-04-02 14:30:00+00:00,Alqueva,2023-04-02 14:30:00+00:00,0,127.0,,0.0
2023-04-04 14:00:00+00:00,Alqueva,2023-04-04 13:00:00+00:00,0,254.0,,0.0
2023-04-04 14:30:00+00:00,Alqueva,2023-04-04 14:00:00+00:00,0,254.0,,0.0
2023-04-04 14:30:00+00:00,Alqueva,2023-04-04 14:30:00+00:00,0,127.0,,0.0
2023-04-04 14:45:00+00:00,Alqueva,2023-04-04 14:30:00+00:00,0,127.0,,0.0
2023-04-09 22:45:00+00:00,Alqueva,2023-04-09 22:30:00+00:00,0,127.0,,0.0
2023-04-09 23:00:00+00:00,Alqueva,2023-04-09 22:45:00+00:00,0,127.0,,0.0
2023-04-10 11:00:00+00:00,Alqueva,2023-04-09 23:00:00+00:00,0,127.0,,0.0
2023-04-10 12:00:00+00:00,Alqueva,2023-04-10 11:45:00+00:00,0,127.0,,0.0
2023-04-11 13:00:00+00:00,Alqueva,2023-04-10 12:00:00+00:00,0,127.0,,0.0
2023-04-11 13:15:00+00:00,Alqueva,2023-04-11 13:00:00+00:00,0,127.0,,0.0
2023-04-11 13:15:00+00:00,Alqueva,2023-04-11 13:15:00+00:00,0,127.0,,0.0
2023-04-18 06:15:00+00:00,Alqueva,2023-04-18 06:15:00+00:00,0,127.0,,0.0
2023-04-18 06:30:00+00:00,Alqueva,2023-04-18 06:15:00+00:00,0,127.0,,0.0
2023-04-18 07:00:00+00:00,Alqueva,2023-04-18 06:30:00+00:00,0,127.0,,0.0
2023-04-18 08:00:00+00:00,Alqueva,2023-04-18 07:00:00+00:00,0,127.0,,0.0
2023-04-18 08:15:00+00:00,Alqueva,2023-04-18 08:00:00+00:00,0,127.0,,0.0
2023-04-18 08:15:00+00:00,Alqueva,2023-04-18 08:15:00+00:00,0,127.0,,0.0
2023-04-18 09:30:00+00:00,Alqueva,2023-04-18 09:15:00+00:00,0,127.0,,0.0
2023-04-18 10:00:00+00:00,Alqueva,2023-04-18 09:30:00+00:00,0,127.0,,0.0
2023-04-18 12:00:00+00:00,Alqueva,2023-04-18 10:00:00+00:00,0,127.0,,0.0
2023-04-18 16:00:00+00:00,Alqueva,2023-04-18 15:00:00+00:00,0,127.0,,0.0
2023-04-18 16:15:00+00:00,Alqueva,2023-04-18 16:00:00+00:00,0,127.0,,0.0
2023-05-04 16:00:00+00:00,Alqueva,2023-05-04 15:00:00+00:00,0,127.0,,0.0
2023-05-04 16:30:00+00:00,Alqueva,2023-05-04 16:00:00+00:00,0,127.0,,0.0
2023-05-04 16:45:00+00:00,Alqueva,2023-05-04 16:30:00+00:00,0,127.0,,0.0
2023-05-09 11:00:00+00:00,Alqueva,2023-05-09 10:00:00+00:00,0,127.0,,0.0
2023-05-22 02:45:00+00:00,Alqueva,2023-05-22 02:45:00+00:00,0,127.0,,0.0
2023-05-22 03:00:00+00:00,Alqueva,2023-05-22 02:45:00+00:00,0,127.0,,0.0
2023-05-22 03:30:00+00:00,Alqueva,2023-05-22 03:00:00+00:00,0,127.0,,0.0
