Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,PROVENCE 5,595.0,1.0,FR,,,STUR,HRD,0.395,8.0,6.0,0.0084033613,0.0084033613,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,BOUCHAIN 7,575.0,1.0,FR,,,COMC,GAS,0.525,5.0,1.0,0.0190289608,0.0190289608,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,CORDEMAIS 5,580.0,1.0,FR,,,STUR,HRD,0.395,8.0,6.0,0.0086206897,0.0086206897,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,CORDEMAIS 4,580.0,1.0,FR,,,STUR,HRD,0.395,8.0,6.0,0.0086206897,0.0086206897,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,CHEYLAS,485.0,1.0,FR,,,HPHS,WAT,0.86,0.0,0.0,0.618556701,0.618556701,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,79427.35590901316,0.0,485.0,0.86,,,,,,,,
,MARTIGUES PONTEAU 6,465.0,1.0,FR,,,COMC,GAS,0.525,5.0,1.0,0.0240215054,0.0240215054,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,,,,,,,
,MARTIGUES PONTEAU 5,465.0,1.0,FR,,,COMC,GAS,0.525,5.0,1.0,0.0240215054,0.0240215054,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,,,,,,,
,POUGET,447.0,1.0,FR,,,HDAM,WAT,0.85,0.0,0.0,0.2013422819,0.2013422819,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,73204.18163160596,0.0,0.0,0.0,,,,,,,,
,EMILE HUCHET 8,413.0,1.0,FR,,,COMC,GAS,0.525,5.0,1.0,0.0270460048,0.0270460048,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,EMILE HUCHET 7,413.0,1.0,FR,,,COMC,GAS,0.525,5.0,1.0,0.0270460048,0.0270460048,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,Croix-de-Metz,413.0,1.0,FR,,,COMC,GAS,0.525,5.0,1.0,0.0270460048,0.0270460048,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,Pont-sur-Sambre,412.0,1.0,FR,,,COMC,GAS,0.51,4.0,4.0,0.036407767,0.02026699,68516.27564,,0.0,0.631067961,0.53,0.0,0.405133848,,,,,,,,,,,,,,,,,,,,
,SPEM,435.0,1.0,FR,,,COMC,GAS,0.525,5.0,1.0,0.0256781609,0.0256781609,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,CYCOFOS,428.0,1.0,FR,,,COMC,GAS,0.525,5.0,1.0,0.026159251,0.026159251,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,BLENOD 5,427.0,1.0,FR,,,COMC,GAS,0.525,5.0,1.0,0.0261592506,0.0261592506,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,COMBIGOLFE,425.0,1.0,FR,,,COMC,GAS,0.525,5.0,1.0,0.0262823529,0.0262823529,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,FR-GA-MORANT1,401.0,1.0,FR,,,COMC,GAS,0.525,5.0,1.0,0.0278553616,0.0278553616,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,BROMMAT,406.0,1.0,FR,,,HDAM,WAT,0.85,0.0,0.0,0.2216748768,0.2216748768,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,66489.70412177185,0.0,0.0,0.0,,,,,,,,
,GENISSIAT,398.0,1.0,FR,,,HROR,WAT,1.0,0.0,0.0,0.5238095238,0.5238095238,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,
,SERRE PONCON,384.0,1.0,FR,,,HDAM,WAT,0.85,0.0,0.0,0.234375,0.234375,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,62886.81375064135,0.0,0.0,0.0,,,,,,,,
,COCHE,320.0,1.0,FR,,,HPHS,WAT,0.86,0.0,0.0,0.9375,0.9375,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,930.0,0.0,320.0,0.86,,,,,,,,
,MONTEYNARD,366.0,1.0,FR,,,HDAM,WAT,0.85,0.0,0.0,0.2459016393,0.2459016393,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,77900.0,0.0,0.0,0.0,,,,,,,,
,VILLARODIN,357.0,1.0,FR,,,HDAM,WAT,0.85,0.0,0.0,0.2521008403,0.2521008403,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,689900.0,0.0,0.0,0.0,,,,,,,,
,AIGLE,360.0,1.0,FR,,,HDAM,WAT,0.85,0.0,0.0,0.25,0.25,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,58956.387891226266,0.0,0.0,0.0,,,,,,,,
,BOLLENE,349.0,1.0,FR,,,HROR,WAT,1.0,0.0,0.0,0.632183908,0.632183908,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,
,MALGOVERT,297.0,1.0,FR,,,HDAM,WAT,0.85,0.0,0.0,0.303030303,0.303030303,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,407100.0,0.0,0.0,0.0,,,,,,,,
,CHASTANG,293.0,1.0,FR,,,HROR,WAT,1.0,0.0,0.0,0.7508532423,0.7508532423,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,
,VOUGLANS,285.0,1.0,FR,,,HDAM,WAT,0.85,0.0,0.0,0.3157894737,0.3157894737,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,46673.807080554136,0.0,0.0,0.0,,,,,,,,
