,CCGT,CHP,Imports_Exports,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-07-29 12:00:00,1.045999210872095e-06,5.154058110474752e-06,-19.012864135234384,-16.074501167634313,-36.81489713826521,3.183047582662856,5.3972311528010905e-05,30.59045304941755,10.362959855220176,-11.271427275461262,39.03723489078641,-2.797574580987706e-05,-8.09043355196034e-06,-1.4279492299857069e-05
2013-07-29 13:00:00,1.0465438880912894e-06,5.153198058601428e-06,-14.134476354275805,-16.086462141296604,-41.9382359892239,3.1706559591076613,5.406746863060093e-05,30.78840636391059,11.655494594139684,-11.271427278551139,37.81604990615293,-2.7568291979651612e-05,-7.99787810404487e-06,-1.4271239651344831e-05
2013-07-29 14:00:00,1.0463749686056528e-06,5.152481662420346e-06,-11.323903844401109,-16.066426863730136,-44.08697292994219,3.1355090102767087,5.4243001393644744e-05,30.724654229087474,12.490336358388213,-11.271427283306808,36.39823576120246,-2.7045648524824608e-05,-7.962965430523023e-06,-1.4365865983529052e-05
2013-07-29 15:00:00,1.0449294141230384e-06,5.151972560457822e-06,-10.114856310489651,-16.0449478344223,-42.7594681437348,3.108915862922919,5.497245592760006e-05,31.082802746497933,13.163295936005321,-11.271427290045242,32.83568790442701,-2.6094292873351772e-05,-7.941383170113323e-06,-1.447290244958807e-05
2013-07-29 16:00:00,1.0400450607314843e-06,5.156793882476135e-06,-10.3235450485532,-2.414034705280483,-49.756424862428624,3.0953728164391516,5.538826660651941e-05,31.126501910341972,13.314811316960368,-11.271427311088491,26.228747446700858,-2.4873723315544796e-05,-8.036097254611068e-06,-1.4650822574391623e-05
2013-07-29 17:00:00,1.0438919008569544e-06,5.319832969703295e-06,-4.39349061876581,3.9299001779159233,-55.869550838663486,3.2558897521558694,3.650129738297587,29.779419955317138,12.703744798281067,-11.271427126661333,18.215434828886274,-2.1332368838833826e-05,-7.427845409777263e-06,-1.3601110711446359e-05
2013-07-29 18:00:00,1.0359821850945642e-06,5.319725126818416e-06,-15.171857023006698,7.834700217509649,-60.62828425110296,3.3200801188693125,27.720675878471134,29.46532254288682,10.196926279915697,-11.27142711178792,8.533914804174648,-2.1443681636764517e-05,-7.70539493355702e-06,-1.3980204273795882e-05
2013-07-29 19:00:00,1.0279922904191603e-06,5.317491351135149e-06,-19.93768360342963,13.504765737028219,-53.4766982707776,3.3708899397492047,30.162756296671805,28.036890554386382,9.610537061110701,-11.271427172680715,0.0,-0.0,-7.833332725060329e-06,-1.4351155944600114e-05
2013-07-29 20:00:00,1.0248313204676065e-06,5.316933897174971e-06,-17.779768535135176,13.461369102913322,-52.37306083919741,3.381682654900092,30.2767783805599,25.778174874655477,8.526282329020717,-11.271427206462745,0.0,-0.0,-7.864607730521319e-06,-1.4518975889579452e-05
2013-07-29 21:00:00,1.0226740184043466e-06,5.31882149444977e-06,-16.00751716988866,12.713714866072657,-51.48684076715115,3.378193228061637,30.186258332031592,24.538157025563745,7.949492401681258,-11.271427193257464,0.0,-0.0,-7.898610562431185e-06,-1.4432098576902377e-05
2013-07-29 22:00:00,1.0244432862228527e-06,5.3286056583949885e-06,-9.238416553550225,3.848600066628513,-54.168600853272864,3.344981277003617,28.63024456402714,29.394708061979042,9.459941417206284,-11.271427123318912,0.0,-0.0,-7.929531866305565e-06,-1.4521580111712416e-05
2013-07-29 23:00:00,1.0238703975791058e-06,5.331789705677294e-06,-6.751555708843888,2.4874550580721535,-52.760708196209706,3.3342086377161464,27.09922914167505,29.526723446627717,8.336105576451963,-11.271427109132564,0.0,-0.0,-7.893010125589038e-06,-1.4537704885629448e-05
2013-07-30 00:00:00,1.0238885854397103e-06,5.333530248997224e-06,-8.735828573139166,2.8524097466773615,-50.415010126194986,3.3374927012110116,27.91263441740864,28.87180859333067,7.447951214110038,-11.271427104021027,0.0,-0.0,-7.89034168882792e-06,-1.4560536018653193e-05
2013-07-30 01:00:00,1.0245162969995543e-06,5.334295965444238e-06,-11.38461378365191,3.770734348751803,-48.97518100128118,3.3423523624730214,28.71385091751769,28.619602760851876,7.184712417814294,-11.271427110498935,0.0,-0.0,-7.88910380042823e-06,-1.4608264320841866e-05
2013-07-30 02:00:00,1.0259597418175121e-06,5.335000243091422e-06,-15.956448025185479,6.833671423465276,-48.53526300748804,3.3509747136802814,29.469764299240673,29.12094162994041,6.987816968164657,-11.271427127951842,0.0,-0.0,-7.878456768976028e-06,-1.459082807105693e-05
2013-07-30 03:00:00,1.0281691739589061e-06,5.335837585252289e-06,-21.616578667828268,11.553643463363878,-49.1692271660688,3.3603080389377986,29.95550034148782,29.85136536001531,7.3364465183890335,-11.271427145754563,0.0,-0.0,-7.850127718765876e-06,-1.45062871526325e-05
2013-07-30 04:00:00,1.0319257554978834e-06,5.337419486004063e-06,-23.057803936754244,13.364875119024592,-50.6462558878566,3.3635997562159776,30.16531807686873,30.39372533557368,7.687999146297354,-11.27142712102142,0.0,-0.0,-7.78452277505063e-06,-1.4347293538922246e-05
2013-07-30 05:00:00,1.0437456893119975e-06,5.342813191265657e-06,-17.42996214778759,12.093261484336985,-64.08295564325321,3.327296158599983,29.53850608715083,31.023499115785892,8.044973169930795,-11.271427015402379,8.756843286327884,-4.762076204997356e-06,-7.534350715943688e-06,-1.389750073033852e-05
2013-07-30 06:00:00,1.0604365382952082e-06,5.346649005683483e-06,-4.277743840542537,5.380778831337055,-65.57254075671764,3.240555636475885,9.445696246683529,31.49179466713341,8.87970062256774,-11.271426907570195,22.683235681927698,-2.1193575699135524e-05,-7.386780544107914e-06,-1.3374331991623745e-05
2013-07-30 07:00:00,9.743604744605974e-07,4.192500029033716e-06,-5.2748368424789245,-0.018725420225847583,-52.76460106211317,-2.1825166393228055,5.3612399222612675e-06,31.703671356326318,10.55262516046134,-11.271428353017958,29.26923041849912,-0.006634213666536019,-0.002243359545502261,-0.004418862495085055
2013-07-30 08:00:00,9.817599728420242e-07,4.185715503011478e-06,-8.541140249368167,-16.240084400631684,-40.14087965016574,-2.1841356893463506,5.284190552682669e-06,31.622118045861768,12.326728472227032,-11.271428317614145,34.4487417126649,-0.009462069241786754,-0.0036102658210080195,-0.0067302710362787364
2013-07-30 09:00:00,9.856715660792039e-07,4.185449774606173e-06,-6.280149420750783,-16.240154861874327,-46.468593674585776,-2.1859243993160664,5.364871391087701e-06,31.2779156829669,14.198955353415032,-11.271428301807417,36.98880794794453,-0.009124307790259875,-0.003513879022021623,-0.0066733898015853355
2013-07-30 10:00:00,9.845650322582295e-07,4.1855763232324995e-06,-8.01134389883128,-16.240154835315185,-42.325442761855676,-2.1881985732551055,5.3260825745757e-06,30.7224781889209,13.453473955452486,-11.271428301469385,35.88008386867116,-0.009089621309245084,-0.0035677194751225164,-0.006693426127772171
2013-07-30 11:00:00,9.862432525864917e-07,4.184971031397449e-06,-8.02873170517765,-16.240175417514408,-44.232110962115286,-2.1908893457275425,5.356535530662362e-06,30.451597678594098,15.097465402873377,-11.271428299117588,36.433602008456866,-0.009005398349618663,-0.0035060179385855966,-0.006701323929378237
2013-07-30 12:00:00,9.868740204503448e-07,4.185250596659586e-06,-8.14085940192398,-16.239819052652567,-43.90655647174105,-2.205489253648098,5.349801575601174e-06,30.34153686385122,16.53023266383794,-11.271428302084287,34.911623148041556,-0.009004574942470825,-0.003443649840942577,-0.006674908346202756
2013-07-30 13:00:00,9.869924277049442e-07,4.184510600911484e-06,-9.080497850205637,-16.239777664777225,-41.591885891065715,-2.2218083419597248,5.31028545885631e-06,30.243825422476903,17.461360751699278,-11.271428302413696,32.71954906769777,-0.009140513410604489,-0.0034110554575573146,-0.006668278119684479
2013-07-30 14:00:00,9.863897267537337e-07,4.1839290275646815e-06,-9.592110117133508,-16.239692251572198,-38.868097753965806,-2.2342689968098,5.299980030894127e-06,30.248803116377843,17.81846180475545,-11.271428301853996,30.15755232048221,-0.009196521267304367,-0.0033403696481233217,-0.006564505448198843
2013-07-30 15:00:00,9.854878394780861e-07,4.185881248703669e-06,-13.757735182029935,-4.666407396896966,-44.40097531267462,-2.2561491618594274,5.348274407318327e-06,30.215879754556124,17.988758434882588,-11.271428302406907,28.164151346707047,-0.007859742029883252,-0.002681538211518967,-0.005434092205439044
2013-07-30 16:00:00,1.0555247305366706e-06,4.96440836467943e-06,-4.277750955245792,1.907140774263205e-05,-54.464891465215466,-1.287224947351697,2.161885708174155e-05,30.121591708914256,17.74068121340964,-11.271427274862637,23.439046175538937,-2.8310638763731953e-05,-9.115525028722733e-06,-1.646609014403203e-05
2013-07-30 17:00:00,1.0667257968809268e-06,5.335523061309448e-06,-8.79594041659116,5.938874414364862,-57.10022725801373,2.940683079265807,4.807341560683579,29.88393881405168,16.958008994767994,-11.271426921017577,16.638795980191638,-2.0435679472142484e-05,-6.8238977371564145e-06,-1.2766496759373881e-05
2013-07-30 18:00:00,1.036405497856124e-06,5.310967033954748e-06,-10.135400156049823,5.101958202490851,-62.965942118901175,2.934050567895971,23.538146161374197,29.660459474699604,15.71024422281229,-11.271427013949346,7.427961668395724,-2.16357269626719e-05,-7.519406695517622e-06,-1.3483856113298256e-05
2013-07-30 19:00:00,1.0164899634896e-06,5.294460061711821e-06,-9.871932897479619,7.70958884123423,-61.70523755955167,2.9276826539159577,28.696803965168986,29.057240531138845,14.457312640859003,-11.271427070562504,0.0,-0.0,-8.313707776468796e-06,-1.4317873214187322e-05
2013-07-30 20:00:00,1.0072874030716389e-06,5.286946920147287e-06,-9.84242444334911,8.480501665405843,-60.58567748870339,2.9215313560708083,29.414512356325496,27.851233760732935,13.03178175390182,-11.271427121213328,0.0,-0.0,-8.652112509340587e-06,-1.4669727724545896e-05
2013-07-30 21:00:00,1.001595150022813e-06,5.283402894306435e-06,-9.863678473598494,7.95511896968614,-57.54568916490047,2.918765201489262,29.60811266799188,26.245363280258523,11.953466777950608,-11.27142701331562,0.0,-0.0,-8.824422148878478e-06,-1.4877786911846125e-05
2013-07-30 22:00:00,9.992721514974423e-07,5.28193788953776e-06,-9.906021983857718,5.266621380086594,-53.78488628615981,2.917001496973301,29.36465956548279,26.11696112844771,11.297124087082388,-11.271426960340255,0.0,-0.0,-8.891846246075017e-06,-1.4977151239380526e-05
2013-07-30 23:00:00,9.967964586140485e-07,5.2816731210111825e-06,-9.936280265407866,5.46730602193567,-51.35628532803514,2.9153959418383666,29.562106107805338,24.6202107138066,9.999006344253962,-11.271426922092813,0.0,-0.0,-8.949342857319963e-06,-1.5095714593428779e-05
2013-07-31 00:00:00,9.960802301817976e-07,5.283197180577756e-06,-9.92548266417997,5.597106052637172,-49.075787040656216,2.9139134024372155,29.680164527680393,23.18669013630847,8.894855042895365,-11.271426886963821,0.0,-0.0,-8.764478752758189e-06,-1.5230753378299915e-05
2013-07-31 01:00:00,9.975548455180936e-07,5.2916247889976405e-06,-9.94725302125189,6.4123989299385675,-47.48434588065069,2.912453365631011,29.839309212119904,21.763755992926473,7.775140828476932,-11.271426800735698,0.0,-0.0,-8.726358932181753e-06,-1.5311038804060025e-05
2013-07-31 02:00:00,9.986278184518747e-07,5.2939437823336954e-06,-9.979600680484513,8.386687812556922,-47.05084559387791,2.9108942849571138,30.035995783678725,20.46583291425899,6.502494988822967,-11.271426785909265,0.0,-0.0,-8.708137827512053e-06,-1.5424538884389833e-05
2013-07-31 03:00:00,9.997552759657838e-07,5.294476302404502e-06,-10.007357537785708,11.17101552094964,-48.195895193120116,2.909289247505999,30.2383887251296,19.561610775912,5.59440803901131,-11.27142678381629,0.0,-0.0,-8.697674667340349e-06,-1.5513707541016843e-05
2013-07-31 04:00:00,1.0007499200787326e-06,5.2950582735624435e-06,-9.957791823388606,13.33508885833897,-48.89492715158542,2.907772137623452,30.44554225534865,18.591555539337357,4.8442198278548805,-11.271426793157227,0.0,-0.0,-8.67779218277221e-06,-1.5607443985925876e-05
2013-07-31 05:00:00,1.0047461794435117e-06,5.2952880699895985e-06,-9.95066229059942,13.985433830800519,-56.38212713047878,2.9062893030869095,30.469864541043194,17.726217360198365,4.297907790204513,-11.271426824158906,8.21854207510927,-5.95002683940038e-06,-8.623142447702097e-06,-1.5541967184367367e-05
2013-07-31 06:00:00,1.0103154812557862e-06,5.287770793165127e-06,-6.689724376534083,6.281010401386365,-66.61411899958688,2.904699473046187,27.375593520482266,17.881856867393,3.993419679726138,-11.271426872318212,26.13874852216529,-2.484559679560631e-05,-9.25594812239114e-06,-1.5614963694265864e-05
2013-07-31 07:00:00,1.0118084906747112e-06,5.279412643093744e-06,-4.900006468216433,2.5412009091969754,-48.2328178199048,2.902886678393283,2.1840788968618687,18.332597272527305,3.8897196125880913,-11.271426913328702,34.553832108669454,-2.9320813985086617e-05,-9.809869843399648e-06,-1.6670379070991578e-05
2013-07-31 08:00:00,9.953165285879201e-07,4.9957280311481215e-06,-9.026852729846716,-11.922412548695531,-32.523939006180306,2.9006850289051944,3.188888028717302e-05,18.474117877999383,3.530162046445734,-11.271427294753655,39.83971679887403,-3.9038362240957446e-05,-1.1566952707601622e-05,-2.089002591832605e-05
2013-07-31 09:00:00,9.94445509302189e-07,4.957808698533099e-06,-4.602558783508228,-16.248444359084456,-36.798794384869865,2.8983248580862124,2.6943361326082013e-05,18.758553386375304,3.3376437694155485,-11.271427366564089,43.92676319442225,-4.290446458381601e-05,-1.1799747602026902e-05,-2.1657186525629983e-05
2013-07-31 10:00:00,9.92625112198732e-07,4.961082844024333e-06,-17.70655483735007,-16.248441308747417,-19.889467213647052,2.8951779322196995,2.7154188768383785e-05,14.109343531892149,1.8558175677795539,-11.27142737184052,46.255613848740985,-4.5228382155023875e-05,-1.0971400533492089e-05,-2.2244759199158254e-05
2013-07-31 11:00:00,9.929653630295145e-07,4.9603140085845905e-06,-17.75391392157084,-16.248439091429432,-22.64089874634383,2.8922160151950673,2.6830519872652765e-05,13.036116674137444,1.9960988027086835,-11.271427378379542,49.990312807366664,-4.773845508239393e-05,-1.1063829097137083e-05,-2.2343105374248487e-05
