,CCGT,CHP,DAC,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-02-06 15:00:00,1.4359205073750374e-06,1.1179825511904466,-1.3602111420377884e-06,3.686119380683437,6.574667934716973e-07,-1.786371348368885e-05,-21.44441510602464,0.07172551912492582,6.250181336229782,10.210902474019441,-1.0707274111206457,1.185863193975933,-4.640632563715062e-06,-2.1855094857983206e-06,-2.9113166124386403e-06
2013-02-06 16:00:00,1.4884454438115855e-06,1.1179828962473113,-1.2543645708713684e-06,6.242035859169677,6.718398885748278e-07,-2.0699632698658198e-05,-21.44441569328857,0.07173333258226414,6.79177821628753,8.158312769961476,-1.0707251049617974,0.1409326107977688,-5.567877668908943e-06,-2.1092803900728542e-06,-2.72224282525731e-06
2013-02-06 17:00:00,1.8768044114743698e-06,1.1179860825568733,-9.504683518459374e-07,6.5254387782462135,7.729629770863856e-07,0.0005116024752541641,-21.444383029419797,0.07176683695629749,7.002727158335253,6.733612243265295,-5.4755068297068555e-05,0.0,-0.0,-1.5582917907295269e-06,-1.9931728930157295e-06
2013-02-06 18:00:00,1.8754300778853447e-06,1.117986099926141,-9.278070434992332e-07,7.371085240756809,7.715231456269627e-07,0.0001857469742999925,-21.44438268342385,0.07175695428984662,7.083921143828938,5.807107161258729,-5.475656820029622e-05,0.0,-0.0,-1.584692275002908e-06,-1.9843834267040722e-06
2013-02-06 19:00:00,1.8724689851528544e-06,1.117986104844949,-9.106303673492901e-07,7.814547173952186,7.699586594906917e-07,0.00011912830368893624,-21.444338770062327,0.07175388494058842,7.084009336079349,5.363582795759137,-5.477484005733096e-05,0.0,-0.0,-1.6030690308070916e-06,-1.984738527622092e-06
2013-02-06 20:00:00,1.8711315361334327e-06,1.1179861188718958,-9.007585323889393e-07,7.850311792343431,7.689310560028293e-07,9.885727221231896e-05,-21.444336132691436,0.07175226272905001,7.0840092016071115,5.327837420454864,-5.4724843363167266e-05,0.0,-0.0,-1.6043976301602924e-06,-1.9856691009745767e-06
2013-02-06 21:00:00,1.866620044648279e-06,1.1179860846112544,-8.973280317999873e-07,7.594015531757299,7.672540054788012e-07,6.926463038832897e-05,-21.444255374036764,0.07175102938400238,7.084009319811368,5.584083733699038,-5.479333150004024e-05,0.0,-0.0,-1.5966980187158698e-06,-1.9890701119004704e-06
2013-02-06 22:00:00,1.8633392649554368e-06,1.1179860774753918,-8.944136149100794e-07,7.436018129996393,7.660275374253309e-07,5.3983471549669566e-05,-21.444263999150458,0.07175011656673871,7.084009160561225,5.7421061571280925,-5.482854425475996e-05,0.0,-0.0,-1.593611479847823e-06,-1.9927120804978137e-06
2013-02-06 23:00:00,1.8801013884314351e-06,1.1179862865198538,-8.828549667530281e-07,5.998133628948869,7.696649622226043e-07,0.06962146220660208,-20.53094410379928,0.07175010601235539,7.084009139750248,6.1971006465997265,-5.250039702884301e-05,0.0,-0.0,-1.564327115488595e-06,-1.974305137035207e-06
2013-02-07 00:00:00,1.877876658903955e-06,1.1179862853372917,-8.822485038345354e-07,5.640912963555874,7.688372176729621e-07,0.23304161378030247,-20.77631459719478,0.0717493989017808,7.0840091138534005,6.636272379816886,-5.2495889774614175e-05,0.0,-0.0,-1.5557917895989704e-06,-1.9770143243909143e-06
2013-02-07 01:00:00,1.8576611828234071e-06,1.1179860784513975,-8.927340117465035e-07,5.913120396359487,7.637139109711432e-07,4.0678048616439256e-05,-21.444232923343925,0.0717481132581835,7.08400935040513,7.264987848219588,-5.476791610760643e-05,0.0,-0.0,-1.5619665098824952e-06,-1.998409537533795e-06
2013-02-07 02:00:00,1.8567447216032275e-06,1.1179860740888448,-8.944114350362984e-07,5.813919303412203,7.63323818577169e-07,4.0102416251222675e-05,-21.44423839621471,0.07174752142526755,7.084009410538873,7.36419558593635,-5.481920054966251e-05,0.0,-0.0,-1.5629322880386098e-06,-2.000849239803282e-06
2013-02-07 03:00:00,1.8076812835798729e-06,1.1179855593326973,-9.236772621611504e-07,5.6408599370802674,7.512864653240005e-07,-0.0010782381893347786,-21.444331201074785,0.07174469486646119,7.084009308373698,7.538483525947293,-6.846074175078069e-05,0.0,-0.0,-1.6096702549361907e-06,-2.0621124609504616e-06
2013-02-07 04:00:00,1.8008284896639998e-06,1.1179854920276315,-9.224361741445625e-07,5.64062621013333,7.496282633291634e-07,-0.31533568401939466,-21.44438196684944,0.07174358385424984,7.0840093209761115,7.853028702690337,-7.097014914836622e-05,0.0,-0.0,-1.624000179788254e-06,-2.0727060859994565e-06
2013-02-07 05:00:00,1.913301500554455e-06,1.1179864752727722,-8.688103383918366e-07,2.4401960464261174,7.767647384761199e-07,6.375763185401526e-05,-18.69261979335751,0.0717476375218679,7.084009377534717,7.986306040883432,-8.579469396057958e-05,0.0,-0.0,-1.525803963090766e-06,-1.950803778881892e-06
2013-02-07 06:00:00,1.9365992553516798e-06,1.1179867074646035,-8.639973544660558e-07,4.394219828086069,7.823996978636994e-07,7.559365159917897e-05,-20.850021978012556,0.07174775262646356,7.084009348655157,8.189649639284509,-6.294394563711951e-05,0.0,-0.0,-1.507900139870344e-06,-1.9316844508647844e-06
2013-02-07 07:00:00,1.957708704186106e-06,1.1179869384573409,-8.530047529963005e-07,1.277105953201478,7.873931064755424e-07,2.9742548415617835,-20.88986426711931,0.07174790905470993,7.084009330624764,8.372423326002174,-6.0275424971060093e-05,0.0,-0.0,-1.4920170609684646e-06,-1.913194996386815e-06
2013-02-07 08:00:00,1.920728283641669e-06,1.1179866542433303,-8.212428241758369e-07,-2.677715960084375,7.784240192274995e-07,3.35830891870041e-05,-14.689563559356415,0.07174654696797238,7.084009301948104,8.207876786312314,-0.00010860163284654229,0.893342703127162,-3.616493570760782e-06,-1.5172593968486581e-06,-1.9409002003294118e-06
2013-02-07 09:00:00,1.880162747684848e-06,1.1179862463254426,-8.518180616538267e-07,-3.1733682912948984,7.688663687807642e-07,-4.1127033126101e-05,-13.725288068386725,0.07174430761087053,7.08400922469898,8.207341662977784,-0.9206268837064123,1.3458505768826923,-3.5642561135517978e-06,-1.5468664363993413e-06,-1.9781268797450167e-06
2013-02-07 10:00:00,1.8780064427832208e-06,1.1179862268796816,-8.018773924533735e-07,-3.1734416241681593,7.685481013555056e-07,-4.149990346188641e-05,-12.51549215525564,0.07174327034467379,7.084008801615504,6.691196777065683,-0.9207009966804183,1.6523485890214962,-3.714902696853663e-06,-1.561873507966993e-06,-1.981045220450409e-06
2013-02-07 11:00:00,1.8537160297430435e-06,1.117985999688025,-8.045250117119801e-07,-3.174209709612192,7.625295089699413e-07,-1.3975500939921777,-12.970851987550102,0.0717400648417285,7.084008880320336,8.364518820893773,-0.9207100603347507,1.8326756749441464,-3.793131759029599e-06,-1.5647098133513282e-06,-2.004399823282257e-06
2013-02-07 12:00:00,1.8525247834953803e-06,1.1179860006289117,-8.055351571058011e-07,-3.1740504983179045,7.618215279593407e-07,-1.3873889101484946,-13.684515542536927,0.07173737791810166,7.084009140308325,9.139109635858913,-0.9207099268339838,1.7614303059955232,-3.782876940864129e-06,-1.5546688631502547e-06,-2.0057334988853975e-06
2013-02-07 13:00:00,1.8531483393075867e-06,1.1179859727768624,-8.678501334353273e-07,-3.173769341069823,7.611331426074946e-07,-0.3132672843652484,-15.43516104379415,0.07173217205584943,7.084009246816924,10.030780673368346,-0.9207097320645607,1.5460069681000093,-3.588236456538457e-06,-1.5446224507513762e-06,-2.0067542567305046e-06
2013-02-07 14:00:00,1.8812931751892145e-06,1.1179862558969702,-8.459385592397641e-07,-3.17344357968486,7.67155772623866e-07,-0.00011710109002348047,-15.073749879124541,0.0717266397301765,7.084008884562861,9.665970766006138,-0.9207002905701983,1.2359254306643241,-3.5717963195140166e-06,-1.5278628795840632e-06,-1.9811157234354596e-06
2013-02-07 15:00:00,2.8265862353531673e-06,1.1179917475662673,-6.261337756138236e-07,-3.809902838254902,9.548411092352408e-07,-1.9716040754340912e-06,-15.313649079789265,0.07174764641519335,7.083250026065209,9.969004084134363,-2.3210751554907737e-05,0.8816109751989125,-2.7408930303199894e-06,-1.128295640342003e-06,-1.484818176201625e-06
2013-02-07 16:00:00,2.0668110799146604e-05,4.78719256492476,-3.980513354347917e-07,0.35134757955128953,1.8041350995090649e-06,7.28425888058244e-06,-21.44440223235652,0.07175497331484186,7.082350509406208,9.010064149906913,-1.9059574014407527e-05,0.14168853657639036,-2.315591387457485e-06,-7.079183762925822e-07,-9.513827749379078e-07
2013-02-07 17:00:00,0.07310895347228233,4.787198723774417,-3.9810288650315513e-07,1.8725772565622292,2.0976476716940498e-06,0.5946300432097146,-21.339544089297572,0.07175800966155192,7.081227212075204,6.85906463992976,-1.88321546085827e-05,0.0,-0.0,-6.705904177692901e-07,-8.922825009967973e-07
2013-02-07 18:00:00,0.0824891787276115,4.787198838737392,-3.9489496906332697e-07,-1.6368882300221292,2.105260421464695e-06,4.765635867245271,-21.22118073224264,0.0717548956426974,7.062648746770167,6.088362267634265,-1.882665692295756e-05,0.0,-0.0,-6.766695560713743e-07,-8.961840759826138e-07
2013-02-07 19:00:00,0.08193793963210023,4.787198889077381,-3.9442642777028194e-07,2.0492413113693106,2.105207474658088e-06,1.936952524536108,-20.808454487828975,0.07175350116181146,6.955218670138535,4.926172657326414,-1.883000564478273e-05,0.0,-0.0,-6.975674074851667e-07,-9.045191640213038e-07
2013-02-07 20:00:00,0.08377767834466936,4.787198966300232,-3.936937941203785e-07,2.512283252628339,2.104692223907894e-06,1.144884559013635,-19.548270825514113,0.07175267042442,6.902294801543672,4.046099935890985,-1.8832424627821734e-05,0.0,-0.0,-7.209593336767739e-07,-9.076173558859808e-07
2013-02-07 21:00:00,0.0011747629402848396,4.787199017186164,-3.93671399228234e-07,4.1393879875806165,2.104768378824137e-06,0.0005860322625973079,-19.21813467061157,0.07175210953980354,6.863132444167391,3.3549233835838215,-1.883200955296898e-05,0.0,-0.0,-7.332689915529045e-07,-9.094691060138908e-07
2013-02-07 22:00:00,7.224638467571515e-05,4.7871980412427355,-3.970944362467157e-07,2.2565208700710775,2.0432709342215514e-06,1.5224223424670275e-05,-18.667764859517614,0.07175128585310318,6.891459938146525,4.668362607518689,-1.8889725824225658e-05,0.0,-0.0,-7.104584398121006e-07,-9.175947794539882e-07
2013-02-07 23:00:00,3.079927679004612e-05,4.787196642180608,-4.056598485351733e-07,2.4296097449800467,1.935397189802411e-06,-2.1826650354027733e-05,-17.8615939317767,0.07175037510057364,6.996978262749001,3.583665924956587,-1.8968657439195483e-05,0.0,-0.0,-7.478737760209242e-07,-9.31021299591047e-07
