,CCGT,CHP,DAC,H2 turbine,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-19 17:00:00,4.361425192014E-06,0.385932533536071,-0.599998391947886,3.00132071837478E-06,13.4416115407411,1.74995970064188E-06,-6.23073363510894,-21.3565130652866,-0.110558661940375,0.0785397648541815,7.08347090673993,7.33109335465084,-0.0228284586660002,0,0,-7.49519663787623E-06,-7.78917793604705E-06,4.35595392011609E-06
2013-01-19 18:00:00,4.3632799016257E-06,0.385932631755487,-0.599998391989774,3.00239844702614E-06,13.4257239799247,1.75176903662616E-06,-6.62969394883705,-21.3565104560948,-0.114521023355261,0.0785397626336483,7.08374172673332,7.74962954848838,-0.022828449233581,0,0,-7.52551191794737E-06,-7.78961292473923E-06,4.88839112353903E-06
2013-01-19 19:00:00,4.36427789298925E-06,0.385932747205,-0.599998391832636,3.00324171566945E-06,12.8432200180796,1.75296693627028E-06,-6.18820172481509,-21.356509903964,-0.105832025029451,0.0785397623156675,7.08364024705034,7.88205312593105,-0.0228284585944043,0,0,-7.53704655727461E-06,-7.79141539271677E-06,4.89391375086802E-06
2013-01-19 20:00:00,4.36475119189972E-06,0.385932887979461,-0.599998391686599,3.00413875791852E-06,10.6402915323411,1.75379338829031E-06,-4.29272737473645,-21.3565102965713,-0.0952469152956099,0.0785397621738835,7.08374377267638,8.17881900427021,-0.0228284709422859,0,0,-7.56137860349782E-06,-7.79399538453163E-06,4.83505270325041E-06
2013-01-19 21:00:00,4.36491434267855E-06,0.385933090871251,-0.599998391217902,3.00396330413374E-06,10.0110014539262,1.75427154446153E-06,-3.96647674592534,-21.3565105082348,-0.094138042000917,0.0785397572972424,7.08365836524891,8.4808350530267,-0.0228285055662701,0,0,-7.58589929085929E-06,-7.79589266949188E-06,4.84843710968456E-06
2013-01-19 22:00:00,4.36439562146924E-06,0.381676184339131,-0.599998737446222,3.02106722682618E-06,10.1287750069034,1.75417064701901E-06,-3.00646987357523,-21.1002407392228,-0.0920642140444311,0.0785397577276402,7.08365412750283,7.14897528333439,-0.0228289444651583,0,0,-7.49203600997816E-06,-7.79694266566366E-06,6.84014003735033E-06
2013-01-19 23:00:00,4.36374653541317E-06,0.381676099400589,-0.599998738439582,3.01988934928926E-06,7.7816003252006,1.75409914604821E-06,-1.903949800414,-20.1947000920123,-0.0883266206769969,0.0785397553043149,7.08375166268081,7.48425426132261,-0.0228289965302559,0,0,-7.51911379086323E-06,-7.80057573069826E-06,6.90081468113432E-06
2013-01-20 00:00:00,4.36211255980026E-06,0.381675958704574,-0.599998741073035,3.01737731194566E-06,7.60871144476187,1.75330200916298E-06,-1.90502046582906,-19.8153581427031,-0.0903133799684835,0.0785397650021742,7.08362136733581,7.2809890884786,-0.0228290636614027,0,0,-7.50865146449087E-06,-7.80451172079211E-06,6.92394249211822E-06
2013-01-20 01:00:00,4.36150611843265E-06,0.381675872641334,-0.599998742363116,3.01587161523299E-06,7.7178352214386,1.75300750522042E-06,-3.53188256168596,-19.4211606656541,-0.0994715576157814,0.0785397744206606,7.08376628729049,8.41354338721776,-0.0228290943120947,0,0,-7.58985403211909E-06,-7.80477922410228E-06,6.92106842044591E-06
2013-01-20 02:00:00,4.3616732908359E-06,0.381675782841388,-0.599998744276199,3.01554735520331E-06,7.95802980633956,1.75313856819501E-06,-4.30612474390454,-19.3270530714389,-0.105370081462877,0.0785397582008923,7.08365801543958,8.85949033644086,-0.0228290805298511,0,0,-7.6231839853449E-06,-7.80396005643525E-06,6.89088858577128E-06
