Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,Suldal 1,170.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.5660377358,0.5660377358,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,49075.2,,,,,,,,,,,
,Steinsland,170.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.5660377358,0.5660377358,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,49075.2,,,,,,,,,,,
,TBO RKA,167.0,1.0,NO,,,COMC,GAS,0.525,5.0,1.0,0.0668862275,0.0668862275,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,Alta krv,165.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.5660377358,0.5660377358,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,396478.1670668166,,,,,,,,,,,
,Torpa,164.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.5660377358,0.5660377358,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,394075.2690845934,,,,,,,,,,,
,Hylen,160.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.5660377358,0.5660377358,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,7260.000000000001,,,,,,,,,,,
,Roldal,160.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.5660377358,0.5660377358,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,7260.000000000001,,,,,,,,,,,
,Ovre Rossaga,159.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.5660377358,0.5660377358,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,382060.7791734777,,,,,,,,,,,
,Midtfjellet,150.0,1.0,NO,,,WTON,WIN,1.0,0.0,0.0,0.9183673469,0.9183673469,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,Matre,150.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.5660377358,0.5660377358,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,58455.0,,,,,,,,,,,
,Suldal 2,150.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.5660377358,0.5660377358,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,58455.0,,,,,,,,,,,
,Ana-Sira,150.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.5660377358,0.5660377358,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,58455.0,,,,,,,,,,,
,Dale,144.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.6382978723,0.6382978723,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,346017.30944013083,,,,,,,,,,,
,Driva,144.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.6382978723,0.6382978723,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,346017.30944013083,,,,,,,,,,,
