,CCGT,CHP,H2 turbine,Imports_Exports,OCGT,battery storage,coal,distribution network,hydroelectricity,offshore wind,oil,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-02-26 06:00:00,13.2602355627135,17.3695263321194,3.70449538108897E-06,16.5767578169668,1.42584357785991E-05,18.1167773717118,3.74539012011267E-06,-97.9654310803623,2.99236856879008,17.7359521006038,2.38453249030802E-06,11.9137994685031,-2.43206931960097E-05,0,0,-8.69390260287823E-06,-9.55361808336302E-06,7.7012241656034E-06
2013-02-26 07:00:00,13.2602358661796,17.0613955894337,3.74309465495896E-06,16.4100926860311,1.43147342108574E-05,6.4609961014641,3.74846052132559E-06,-96.9999565193836,2.99236725566894,16.0360639665155,2.38639819762532E-06,11.9463885372846,-2.42677816722283E-05,12.8324165756045,-1.38955181627772E-05,-8.67204919729326E-06,-9.47125291292169E-06,7.70417369400994E-06
2013-02-26 08:00:00,10.9065576826683,16.0586219047568,3.58245310530243E-06,15.9859235501903,1.29038265311144E-05,-8.62474269588047,3.64732800675303E-06,-90.4115389694871,2.99235601038284,14.5628162243849,2.31679916880601E-06,11.6870113406026,-2.48289074249206E-05,26.8429992408624,-1.5121633900203E-05,-8.95840297335783E-06,-9.72179066167701E-06,8.0281830772863E-06
2013-02-26 09:00:00,10.952439050673,15.0725907231213,3.57043103332873E-06,14.6831117135068,1.2870994502595E-05,-6.89208637780172,3.6467851273906E-06,-87.9764009690062,2.99235284163765,12.0141644122885,2.31561647690629E-06,10.5711769633795,-2.4853997151545E-05,28.5826557900129,-1.518684553259E-05,-8.8714324329668E-06,-9.51298361900948E-06,8.02958541553182E-06
2013-02-26 10:00:00,10.9880042964289,14.3810026999488,3.56135468572098E-06,13.1815716281641,1.28470172898183E-05,-7.15732388437443,3.64639166462559E-06,-85.8227530663992,2.99234849779814,9.9810328003665,2.31475014578308E-06,10.8682944679237,-2.48656969317923E-05,30.5878267033273,-1.52308998005003E-05,-8.87168957432304E-06,-9.40703264765391E-06,8.03075194517038E-06
2013-02-26 11:00:00,11.048867125041,13.9630840449029,3.55257113953043E-06,14.6342728230848,1.28272975965873E-05,-9.56082479759405,3.64610955029122E-06,-84.7129515277137,2.99234180208645,8.44357505461194,2.314118804783E-06,11.4347955854008,-2.48797255883244E-05,31.7568440559843,-1.52664379629509E-05,-8.89897379886295E-06,-9.292118011273E-06,8.03070411665559E-06
2013-02-26 12:00:00,13.260403797603,14.9676708473067,3.97815171939859E-06,11.3855620957677,1.64809700666909E-05,8.92817104172942E-05,3.90382183296495E-06,-88.4313286384386,2.99236761216799,8.09364485349469,2.48337319193302E-06,12.6374236414719,-2.37178909062152E-05,25.0941619386304,-1.38950133545266E-05,-8.27257482621772E-06,-8.56762423196023E-06,7.36681244300348E-06
2013-02-26 13:00:00,13.2604016126243,15.2087760179562,3.97372462045266E-06,10.948121843457,1.64668501160123E-05,-0.000115785829278117,3.89893560080308E-06,-89.255814996865,2.99236535421008,8.34319073359493,2.48176296186067E-06,13.5671061711689,-2.37232834563957E-05,24.935964634301,-1.3883595835829E-05,-8.33115351538188E-06,-8.60686731448975E-06,7.3652711591372E-06
2013-02-26 14:00:00,13.2604847933917,17.3695257691002,4.86803363791386E-06,10.2071950636859,2.96179517908552E-05,1.07208761475812E-05,4.31643405079014E-06,-85.8444583232169,2.99238317659346,8.71721552440452,2.78199531026992E-06,14.8161411902375,-2.23679831861882E-05,18.4814775193573,-1.22158985368321E-05,-7.52671186835299E-06,-7.76589100216143E-06,6.52022584698173E-06
2013-02-26 15:00:00,13.2605043956706,17.3695391194986,5.9028183251447E-06,13.3870346474059,7.62050584589044E-05,1.25038168121233,4.73820306414277E-06,-86.063846891399,3.89652290688887,8.63177243314793,3.06771235723243E-06,15.2376480128433,-2.16070678874031E-05,13.0303672655187,-1.10275649331526E-05,-6.97902951752828E-06,-7.20777405613798E-06,6.0143047673982E-06
2013-02-26 16:00:00,13.260504442474,17.3695389149673,5.81739710336902E-06,8.88822525670403,7.55450000273975E-05,24.8437787769709,4.72365720884441E-06,-94.6661081986078,5.8688812061834,8.09712854785501,3.05908088559156E-06,16.3379646391242,-2.16583112770557E-05,0,0,-7.0323379306207E-06,-7.21277388679237E-06,6.01018311800091E-06
2013-02-26 17:00:00,13.2605045002622,17.3695389054282,5.81451292823775E-06,8.88508119776063,7.56792975128079E-05,23.9060168291298,4.7261036615555E-06,-95.3938835416457,4.7202890417698,8.30396335025073,3.06085503428115E-06,18.9484032218271,-2.16372519323744E-05,0,0,-7.08687893045986E-06,-7.22895460194295E-06,6.01136516651761E-06
2013-02-26 18:00:00,13.2605045473335,17.3695389235622,5.81302665370611E-06,9.01267100710024,7.57683925885705E-05,18.3687542291635,4.72749241577172E-06,-91.5975469328175,4.33526492757812,8.9051404833337,3.06229432345138E-06,20.345586315404,-2.16317092786503E-05,0,0,-7.11869462493478E-06,-7.27847759970803E-06,6.01372370937428E-06
2013-02-26 19:00:00,13.2605045856438,17.3695389365447,5.81369764045024E-06,11.6689947697941,7.58413315160845E-05,9.25326653949883,4.72839485955301E-06,-84.9392050607731,4.10332354794464,9.31558076525162,3.06367262484957E-06,19.9679093813992,-2.16318463433012E-05,0,0,-7.11365831115509E-06,-7.31520126779845E-06,6.01680160302559E-06
2013-02-26 20:00:00,13.2605045423724,17.3695389961747,5.79583050100648E-06,13.3563118761884,7.57669940514883E-05,4.39591571697374,4.72574639664769E-06,-79.4030736197377,3.91926323717515,8.63547253303005,3.06351898359748E-06,18.4659802507587,-2.16474067293133E-05,0,0,-7.09085773212453E-06,-7.28191687861878E-06,6.01913319120655E-06
2013-02-26 21:00:00,13.2605044702915,17.3695391980857,5.76628215438202E-06,14.3353776906819,7.56095634287525E-05,4.25383085156445,4.72220948803974E-06,-76.3063092559611,3.85507173794413,6.85221347245214,3.06180563215925E-06,16.3796854139001,-2.16729297512981E-05,0,0,-7.05448552904719E-06,-7.13528464227022E-06,6.02052917558885E-06
2013-02-26 22:00:00,13.2605044182908,17.3695393295032,5.7375773034603E-06,12.02414006407,7.54922267574976E-05,9.90637423089209,4.72143411218464E-06,-72.6178813256812,3.8810290010193,4.5210270894057,3.05989168866628E-06,11.6551804416022,-2.16983959124618E-05,0,0,-6.91213287012308E-06,-6.77593024742277E-06,6.02324610532961E-06
2013-02-26 23:00:00,13.2605044131429,17.3695393692622,5.73564540550542E-06,11.5149715985161,7.54992160985051E-05,6.72997963339697,4.72106225054244E-06,-68.9956064476926,3.81788086453215,4.70550916956137,3.06048021699558E-06,11.5971346160428,-2.16994668579299E-05,0,0,-6.90821279586131E-06,-6.75458553219907E-06,6.0270183530222E-06
2013-02-27 00:00:00,13.2605044134403,17.3695393457192,5.73894390701548E-06,12.1954997206241,7.5532980180197E-05,3.66369546467485,4.72095512251449E-06,-66.6613748141231,3.73504957476494,5.28750526521554,3.06149352510723E-06,11.1494942360608,-2.16963125065731E-05,0,0,-6.88253735714172E-06,-6.81615096699353E-06,6.03129902540274E-06
2013-02-27 01:00:00,13.2605043867152,17.3695393247679,5.72383777392258E-06,13.881666843801,7.54703393886714E-05,2.24370299903377,4.72043686283371E-06,-65.3135170241206,3.65099895904851,4.50554456428971,3.06052403813725E-06,10.4014730618902,-2.17080778774009E-05,0,0,-6.84835175152059E-06,-6.66804467550256E-06,6.03435263655234E-06
2013-02-27 02:00:00,13.2605043329183,17.3695392498424,5.69879418122822E-06,13.5354082016843,7.53205400655301E-05,3.96524508299187,4.71892339267984E-06,-65.1178250196558,3.70480443151282,3.76814615071107,3.05821960667084E-06,9.51409067816027,-2.17275436218978E-05,0,0,-6.81186226571198E-06,-6.49229797948967E-06,6.0347279805813E-06
2013-02-27 03:00:00,13.2605042990156,17.3695390110339,5.67939284981158E-06,11.8001298189526,7.52069439267021E-05,7.0005648789914,4.71821346226012E-06,-65.5404553801847,3.7314293097066,3.64387299072836,3.05624854426154E-06,8.7343282301014,-2.17404095647953E-05,0,0,-6.77483123469721E-06,-6.42262096830045E-06,6.03157703579701E-06
2013-02-27 04:00:00,13.2605043095932,17.3695487672552,5.67806974427369E-06,10.8469827183758,7.5205715706001E-05,11.5159281043999,4.71963944140903E-06,-68.5616327412849,3.74036045027972,3.46954636696052,3.05555422297078E-06,8.35867474208682,-2.17374663442034E-05,0,0,-6.74340567750292E-06,-6.28245213982628E-06,6.02356045202965E-06
2013-02-27 05:00:00,13.2605042765274,17.3695487687436,5.67745690531733E-06,9.77775780145586,7.51745275102798E-05,23.6445049923995,4.71929596552084E-06,-78.8170184667943,3.74924417785743,3.02126156966148,3.05453989202977E-06,7.99410931459607,-2.17320976786293E-05,0,0,-6.70516548041586E-06,-6.00369886872596E-06,6.01534724151448E-06
2013-02-27 06:00:00,13.2605042380569,17.3695487592379,5.68216998981409E-06,5.67765034328683,7.51436470013971E-05,36.3447556703016,4.71869205217055E-06,-87.1528433046103,3.75139527262762,2.86541085635785,3.05342835840113E-06,7.88349044772475,-2.17264786956289E-05,0,0,-6.68932419000514E-06,-5.85556749291717E-06,6.01150740044411E-06
2013-02-27 07:00:00,13.2605044791539,17.3695383773816,5.80734820510348E-06,5.68412603100655,7.58027397170665E-05,21.1432372039848,4.72862891600664E-06,-85.4700169123583,3.73411934547735,3.15595312604684,3.06142214419077E-06,7.70522892218757,-2.16418258555697E-05,13.4172319824341,-1.10514344462703E-05,-6.61374618092771E-06,-5.82628040873447E-06,6.0148662115556E-06
2013-02-27 08:00:00,13.2605044825179,17.3695390020977,5.90001677751873E-06,5.76404821263328,7.61759659506942E-05,4.31165874625478,4.72916293127125E-06,-80.462289890939,3.66448634466547,3.4113923296871,3.06347606791683E-06,6.55279279116174,-2.16117051095001E-05,26.1277900803087,-1.14877875896213E-05,-6.49308707241336E-06,-5.71880890747343E-06,6.01795130481627E-06
2013-02-27 09:00:00,13.2605045387835,17.3695390227158,5.92622115718302E-06,5.76835314382219,7.63306649008217E-05,2.58174993676956,4.73493848742922E-06,-79.2516701513871,3.61827150421961,3.98011283262412,3.06427450538732E-06,5.09334946606474,-2.16069536929828E-05,27.5797113125477,-1.14805960109312E-05,-6.30897988897402E-06,-5.66650250126454E-06,6.01916998952256E-06
2013-02-27 10:00:00,13.2604964087125,17.3695337477972,5.35505764303037E-06,5.94311519359616,4.22292207276714E-05,-3.72466597333281,4.51497960542362E-06,-76.6405481533319,2.98786576729733,3.59884875965265,2.90893563441033E-06,4.40975593340793,-2.19781793633822E-05,32.7955563634503,-1.20102380846351E-05,-6.3778214723538E-06,-5.8621840709943E-06,6.26796263324636E-06
2013-02-27 11:00:00,13.260496406937,17.3695338115748,5.38894378401268E-06,5.60970906548811,4.23013544974473E-05,-7.56341635123881,4.5160521542456E-06,-75.0478562369751,2.98822186857219,3.84819039472427,2.9089107016108E-06,3.1698759544417,-2.19710888716908E-05,36.3652026488738,-1.20237208679233E-05,-6.09136570256809E-06,-5.77600776680023E-06,6.26912469130141E-06
2013-02-27 12:00:00,13.2604996291543,17.3695359942354,5.56039001779037E-06,6.63159974475203,4.99686699517981E-05,-5.86913385420942E-05,4.59612125367315E-06,-78.3393421321116,2.98893608483032,3.86899130477633,2.96133437851223E-06,2.73424717226296,-2.1855778906969E-05,31.485548181316,-2.01109046280723E-05,-5.87393473988934E-06,-5.77988268423614E-06,6.18077398402852E-06
2013-02-27 13:00:00,13.2604964519918,17.3695339441753,5.37410641519773E-06,8.85725219768546,4.22567229501628E-05,-4.56648486454148,4.51828872570836E-06,-77.6068963459609,2.98986284093766,4.23922365753613,2.90996631936857E-06,2.50990046263556,-2.19874953146487E-05,32.9470788799019,-2.16382498511187E-05,-5.83567135436746E-06,-5.96129251799028E-06,6.26800927222835E-06
2013-02-27 14:00:00,13.2605044283649,17.3695391669839,5.91090195858099E-06,11.9588025722799,7.59794765275616E-05,5.24321545521918,4.72970353469897E-06,-82.5401872661068,3.68537574568002,4.69062615026393,3.06133571895507E-06,2.60476651543049,-2.16401283151689E-05,23.7272857157392,-1.83192080989493E-05,-5.67039973344892E-06,-5.83060140193325E-06,6.01593096959723E-06
2013-02-27 15:00:00,13.2605044285424,17.3695390853532,5.8858239962865E-06,10.6293471926707,7.59506017889461E-05,17.3012190335469,4.73069966177178E-06,-86.5935905308711,3.73896879964414,5.56130181437059,3.06142574175422E-06,2.9632414809202,-2.16492661016555E-05,15.7693902647842,-1.11127102072187E-05,-5.79254252364807E-06,-5.85656496587235E-06,6.01369534702943E-06
2013-02-27 16:00:00,13.2605042515003,17.3695390035794,5.77894131278965E-06,11.5346137172517,7.54460520008305E-05,39.5046771629185,4.72222764649153E-06,-95.5518789525629,3.76650623556747,6.83233982473742,3.05490463908351E-06,3.28361030703812,-2.17029128248036E-05,0,0,-5.90792923427239E-06,-6.07463890435957E-06,6.01126014297384E-06
2013-02-27 17:00:00,13.2605043423001,17.3695390408403,5.78852269636801E-06,10.3325926947965,7.56413731314334E-05,38.4913690028842,4.7253904437006E-06,-96.286687350621,3.77533286929712,8.73257560561546,3.05796305907759E-06,4.32468553411995,-2.16680886420012E-05,0,0,-6.11113942821256E-06,-6.32668470745076E-06,6.01200535528134E-06
2013-02-27 18:00:00,13.2605044369931,17.3695390709102,5.81233946115745E-06,8.89471958575197,7.58742965887456E-05,33.5570781960228,4.72864185742497E-06,-92.4723572697056,3.78235627449392,10.2065043139539,3.06123583467091E-06,5.40156722284967,-2.16438795896392E-05,0,0,-6.27218859590453E-06,-6.55703255206605E-06,6.01362413216223E-06
2013-02-27 19:00:00,13.2605044755768,17.3695390682108,5.82134785881844E-06,12.2950365444169,7.59677812199766E-05,22.7419396317841,4.72951666182312E-06,-85.8602057388686,3.78593560912309,10.6530775769985,3.06267941981685E-06,5.75408473115507,-2.16412679799571E-05,0,0,-6.32598474043936E-06,-6.68328224488067E-06,6.01511473382476E-06
2013-02-27 20:00:00,13.2605044873286,17.3695391097408,5.82308416839818E-06,12.4247398151138,7.59922905300401E-05,16.8997613216517,4.72896692656807E-06,-80.361888876971,3.79550358849095,10.729515788268,3.06323482729486E-06,5.88223678208367,-2.16468466193826E-05,0,0,-6.3589085178991E-06,-6.791628606546E-06,6.01728925418637E-06
2013-02-27 21:00:00,13.2605044918728,17.3695393223067,5.82135304270644E-06,12.3563685279262,7.59918982754827E-05,14.0802975681629,4.72830340199549E-06,-76.9950100152573,3.81159372523742,10.3692570110985,3.06345822201963E-06,5.74736150012154,-2.16535700136737E-05,0,0,-6.35561930897755E-06,-6.90155040727967E-06,6.01935748596963E-06
2013-02-27 22:00:00,13.2605044914719,17.3695394933714,5.82416847635848E-06,12.1058074784098,7.60098456543307E-05,10.6645898143139,4.72779794570727E-06,-72.9661495381339,3.82740757423974,10.3873077075559,3.06390567209065E-06,5.35090506000035,-2.16571973496337E-05,0,0,-6.28884697809344E-06,-6.93867172963752E-06,6.0220540715879E-06
2013-02-27 23:00:00,13.2605044817849,17.3695395520653,5.82126391247609E-06,12.0098961226601,7.59833190482907E-05,7.79249120920975,4.72658114091023E-06,-69.1881379181181,3.84306372556378,9.89292430576793,3.0638641159081E-06,5.01963071813051,-2.1662955601249E-05,0,0,-6.25868458843489E-06,-7.04171456875806E-06,6.02545588474804E-06
