,CCGT,CHP,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,oil,onshore wind,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-05-09 21:00:00,3.59214776444168E-05,0.818720255565108,-12.9863814394884,1.83189755849017E-06,0.778444949568935,-46.0153345515608,11.9807375749664,18.651662305253,20.3953442600364,1.96329430050603E-06,6.37690695034595,0,0,-3.83969448533984E-05,-1.77767156235973E-05,2.01082527942993E-05
2013-05-09 22:00:00,3.61010006263194E-05,0.792053394924004,-11.2349967558667,1.83756027718629E-06,0.0797481251909016,-44.0931906613846,8.47916476344625,18.6516626124277,19.7020285069168,1.96498457113739E-06,7.6236285454435,0,0,-3.70605484631657E-05,-1.77780648259045E-05,1.97462349011605E-05
2013-05-09 23:00:00,3.50953948824328E-05,0.80123455722297,-9.32618080848532,1.79892870546477E-06,-0.622957828041466,-44.2384953358936,6.8707749547206,18.6516604341005,19.6278568640424,1.95120092547085E-06,8.23621172158055,0,0,-3.81517220023462E-05,-1.85890001864095E-05,2.04332997251001E-05
2013-05-10 00:00:00,3.63189940273804E-05,1.02582721961003,-5.43336481402636,1.83084585013976E-06,0.0266964752501952,-49.4331159320286,6.93274505017413,18.6516631828958,19.7172546431157,1.96991216414359E-06,8.51238746967993,0,0,-3.60524994832821E-05,-1.76460816244344E-05,1.92846435116067E-05
2013-05-10 01:00:00,3.61842819564188E-05,1.07219551944189,-4.93790133614618,1.819438031586E-06,0.000988834235487262,-50.2826684553029,6.87225372909104,18.6516629910266,19.7827645379544,1.96684610648735E-06,8.8407979480473,0,0,-3.60045610650084E-05,-1.77266488287273E-05,1.9345823942762E-05
2013-05-10 02:00:00,3.63303612437766E-05,1.21971604010734,-3.53115737011258,1.81822864553691E-06,0.0600781918912467,-52.4624868556414,7.27899780828871,18.6516633882253,19.8191003597467,1.96896283434916E-06,8.96418107805695,0,0,-3.56787648096338E-05,-1.7604704833218E-05,1.9322329128806E-05
2013-05-10 03:00:00,3.62169856836797E-05,1.47450178128177,-3.51197160065553,1.8065240258042E-06,0.0736948957337201,-54.1543619277377,8.7774994428746,18.6516632460693,19.8593038853112,1.96732923132803E-06,8.82976296069304,0,0,-3.58609953538722E-05,-1.7648614330767E-05,1.98110965542233E-05
2013-05-10 04:00:00,3.61291086382994E-05,1.53972187943634,-5.17980682301102,1.79279228602755E-06,0.0986640370347917,-55.4315728301661,11.636269269737,18.6516631194141,19.927640175292,1.96659736276979E-06,8.7575133079441,0,0,-3.59355154942505E-05,-1.76587953465059E-05,2.05319493677234E-05
2013-05-10 05:00:00,3.60173171576093E-05,1.49165899460641,-9.73659604396405,1.77268710350985E-06,1.90158712581152,-52.6560153819349,12.0471800082019,18.6516628605691,19.8617252807753,1.96445407563994E-06,8.43888911884665,0,0,-3.61933262441674E-05,-1.76909955793008E-05,2.11591080166743E-05
2013-05-10 06:00:00,3.59559062007728E-05,1.44908177978028,-13.0784196410062,1.7383812293168E-06,1.00456325243486,-48.9921947902157,12.0010067250324,18.6516630372407,19.5811690660402,1.95819424932716E-06,7.68487005891923,1.69839471781527,-4.15567132397386E-05,-3.66870360423157E-05,-1.77177733386316E-05,2.12886074658898E-05
2013-05-10 07:00:00,3.61875229536642E-05,1.40578057700218,-11.2166608241802,1.71566260371515E-06,0.1682022215977,-48.646028721916,8.24802517826765,18.6516639080798,19.061308589334,1.95510836746925E-06,8.27748517684637,4.05035039492491,-3.53896001767301E-05,-3.58461443207275E-05,-1.77820137666913E-05,2.10981482516275E-05
2013-05-10 08:00:00,3.05755966102865E-05,0.000451766770933097,-5.35639859257663,1.55203592911818E-06,-0.0113093143522035,-52.1741689743676,5.05448234570098,18.6516445420077,18.4429966933707,1.85785330021387E-06,9.65314384835513,5.73933507172071,-4.89633668572041E-05,-4.76524551885928E-05,-2.46604097171144E-05,2.86673611751644E-05
2013-05-10 09:00:00,3.01554899390019E-05,0.000248227276883342,-0.576945241714815,1.53182219432428E-06,-2.01152737917864,-50.4101312835209,1.63468675490079,18.6516421822414,16.9754892332894,1.84277704702969E-06,9.51099752826171,6.2257281612214,-5.58824828971865E-05,-4.9176909780157E-05,-2.58752918526852E-05,2.95919343162334E-05
2013-05-10 10:00:00,3.10426757542109E-05,0.0364568683996056,-5.38099157064358,1.55176560329185E-06,1.94183005705888,-49.3597808543518,6.87044427145187,18.6516474877152,13.2622335565761,1.85720707619294E-06,7.3289077257349,6.64943420313012,-5.51590835157197E-05,-4.7652188792628E-05,-2.51290501412598E-05,2.79341093424997E-05
2013-05-10 11:00:00,2.96721213973796E-05,0.00017928610254654,-0.500381509306218,1.50221354665375E-06,-0.00288474254910561,-47.4623705217741,1.63451537198496,18.6516393079386,13.5627722894085,1.82847782090012E-06,6.94620931528527,7.17052097783755,-6.09256716025433E-05,-5.31275998063137E-05,-2.77724657605916E-05,3.12120950173676E-05
2013-05-10 12:00:00,2.95413364322875E-05,0.000157543385964815,-0.366266572082456,1.48826789235042E-06,-2.01042657801578,-47.2661793257482,1.63449473114755,18.6516387437328,14.7997968194568,1.82483802585103E-06,7.33791935327473,7.21906721381695,-6.50589936058193E-05,-5.30614655971675E-05,-2.75124236650299E-05,3.28914071153962E-05
2013-05-10 13:00:00,2.95620353499819E-05,0.000157765130726278,-0.593743102369495,1.49350756137599E-06,-2.01055697004505,-48.2092684107536,1.63449548687408,18.6516388213862,16.0257305537482,1.82538326397702E-06,7.82981944017107,6.67192929181743,-6.58445398579144E-05,-5.2504410581804E-05,-2.70951544213744E-05,3.18168870905904E-05
2013-05-10 14:00:00,2.87802280417473E-05,0.000100889102038439,0.848035299870152,1.48670885159019E-06,-2.01183016468766,-50.0681082272648,1.63442482427173,18.6516315134069,16.8228328643721,1.81282213200679E-06,7.96753484532789,6.15559207374772,-6.75639496585626E-05,-5.65012589345848E-05,-2.90601416967888E-05,3.4424173991077E-05
2013-05-10 15:00:00,3.06148422409973E-05,0.000536290324867194,-1.58143238741587,1.5644493283462E-06,-0.00016382256433048,-52.1108297659242,4.58784944466947,18.6516448466927,17.4230600425157,1.85488494301592E-06,7.88526716989048,5.14425435689609,-5.70919341480133E-05,-4.87735607144909E-05,-2.46361991017352E-05,2.95683596340658E-05
2013-05-10 16:00:00,3.63615601578943E-05,1.38360996737683,0.408365688470575,1.75704974169058E-06,0.000378305531143156,-55.7424193098714,7.25126461377234,18.6516642766513,17.7471375928397,1.95708587456842E-06,6.82710039192016,3.47303277093675,-4.15491571474622E-05,-3.67140007528144E-05,-1.77519990972428E-05,2.14241351332424E-05
2013-05-10 17:00:00,3.57701885921762E-05,1.39334829347854,-3.98155423055654,1.72351746895049E-06,-0.00038182515784944,-52.5895295994086,11.2341533470378,18.6516629377593,17.9613088373367,1.93669644617864E-06,5.67898959202518,1.65213976729524,-4.19717443831297E-05,-3.81662635555805E-05,-1.78649746700898E-05,2.12464598122729E-05
2013-05-10 18:00:00,4.08136728887285E-05,1.37485097797853,-6.73962149918153,1.94252223692701E-06,0.862086189828274,-48.7547406315045,12.1069067848293,18.6516703979511,17.9823537438442,2.01883074598856E-06,4.27885397502544,0.237765984058734,-5.37226420208206E-05,-3.43585341537908E-05,-1.50759115807659E-05,1.77439070087625E-05
2013-05-10 19:00:00,4.08102157137843E-05,1.29811829570007,-7.40210263772785,1.98431606171928E-06,1.94234863991424,-47.8808612097638,12.1069050776865,18.6516701809469,17.5975481894042,2.02057050735976E-06,3.68644747291762,0,0,-3.55533861120338E-05,-1.50940364829921E-05,1.75384558270696E-05
2013-05-10 20:00:00,4.08971393505997E-05,1.17643807571843,-8.61008909132381,2.00912326163791E-06,1.97269270804287,-46.2188473025741,12.1069052472295,18.6516701468435,17.5317430826894,2.02536485246598E-06,3.38956179568358,0,0,-3.60051759621584E-05,-1.50882454584007E-05,1.7343221329987E-05
2013-05-10 21:00:00,4.08447606684771E-05,1.0518994536309,-8.00261502979867,2.0223854755984E-06,1.01729521185778,-45.3415174585093,12.1069041042207,18.6516699823535,17.2165350121778,2.02525932379444E-06,3.29990798472254,0,0,-3.63082707520631E-05,-1.51329877216995E-05,1.71613747565952E-05
2013-05-10 22:00:00,3.60118693256997E-05,1.00703347660495,-7.5347548455433,1.88415995995454E-06,-0.00116146742390142,-44.5764394321514,11.9445941955837,18.6516626209378,16.6274117793497,1.95400611199483E-06,3.88175401747768,0,0,-4.16180989527295E-05,-1.7615226995531E-05,1.99142777022488E-05
2013-05-10 23:00:00,3.61844197299584E-05,1.02055212964393,-6.35341562158697,1.89459109543449E-06,-0.00045954934811391,-46.588426782479,11.3144584501191,18.651662932752,18.0432544845895,1.9588654033704E-06,3.91247751425446,0,0,-4.13650141316727E-05,-1.70803768859855E-05,1.95852358274334E-05
2013-05-11 00:00:00,3.63310170999476E-05,1.01161148431494,-4.0787338857002,1.8997899406185E-06,-0.000246583009014403,-46.1162953533465,8.22885551126971,18.6516632215965,18.5129682949793,1.96259387243946E-06,3.79028033271082,0,0,-4.14235742978752E-05,-1.66818817180001E-05,1.93129148212639E-05
2013-05-11 01:00:00,3.64345053036662E-05,1.06672467311385,-1.24012769861746,1.89963814864402E-06,-0.000126088353317948,-48.5572475853339,7.23203369786077,18.6516634447383,18.905431881287,1.96436867525058E-06,3.9417497820781,0,0,-4.09742532118982E-05,-1.6472661345631E-05,1.91338669203483E-05
2013-05-11 02:00:00,3.64568368215989E-05,1.21052432142639,0.841164377850861,1.89412317540193E-06,-3.89805225904864E-05,-51.1329911199552,7.35139528757634,18.6516635023293,19.087489049395,1.96378679140599E-06,3.99089519301764,0,0,-4.08205422036223E-05,-1.64254131501025E-05,1.91113029112671E-05
2013-05-11 03:00:00,3.63954861118295E-05,1.4193059273761,0.430393219200117,1.88435990147446E-06,3.25930866459246E-05,-52.3655828820798,8.98063440941401,18.6516633780671,18.750987049823,1.96077727651646E-06,4.13266748482221,0,0,-4.05844383783998E-05,-1.65638760023512E-05,1.92922040518747E-05
2013-05-11 04:00:00,3.63287457814672E-05,1.47621210094601,-1.29299760652223,1.87101470375637E-06,0.000131271097055357,-53.0637577375276,11.3823357123249,18.6516632182936,18.4347332812057,1.95617484562747E-06,4.41178034112659,0,0,-4.00653770848587E-05,-1.72309634586441E-05,1.97401202606717E-05
2013-05-11 05:00:00,3.6224374932331E-05,1.42566196085791,-2.33387268215066,1.84865267831916E-06,0.000314041380909253,-52.6166579100105,11.6668227223209,18.6516630760922,18.1863103789503,1.9508660238105E-06,5.01985734291557,0,0,-3.90425360649205E-05,-1.74323659227866E-05,2.0083938080456E-05
