Fuel,Technology,Type / Class,Age bin,PowerCapacity,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,RampingCost,PartLoadMin,StartUpTime,CHPType,NoLoadCost_pu,MinEfficiency,CO2Intensity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
LIG,STUR,Sub-critical,10,399.9999999999,0.364558003502764,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,10,150,0.364558003502764,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,10,149.9999999999,0.309155581618704,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,10,7.5,0.309155581618704,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,10,7.4999999999,0.239325877466905,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,30,400,0.3895298200748,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,30,399.9999999999,0.364558003502764,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,30,150,0.364558003502764,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,30,149.9999999999,0.309155581618704,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,30,7.5,0.309155581618704,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,30,7.4999999999,0.239325877466905,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,30.00000001,400,0.376975951159586,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,30.00000001,399.9999999999,0.35280893282292,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,30.00000001,150,0.35280893282292,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,30.00000001,149.9999999999,0.299192034680751,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,30.00000001,7.5,0.299192034680751,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,30.00000001,7.4999999999,0.231612820496938,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,supercritical,9.999999999,400,0.412257963974851,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,9.999999999,399.9999999999,0.385829100955418,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,9.999999999,150,0.385829100955418,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,9.999999999,149.9999999999,0.327194078761707,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,9.999999999,7.5,0.327194078761707,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,9.999999999,7.4999999999,0.253289976495393,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,10,400,0.391117327163159,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,10,399.9999999999,0.366043739343392,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,10,150,0.366043739343392,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,10,149.9999999999,0.310415527974367,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,10,7.5,0.310415527974367,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,10,7.4999999999,0.240301236752193,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,30,400,0.391117327163159,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,supercritical,30,399.9999999999,0.366043739343392,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,supercritical,30,150,0.366043739343392,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,supercritical,30,149.9999999999,0.310415527974367,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,supercritical,30,7.5,0.310415527974367,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,supercritical,30,7.4999999999,0.240301236752193,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,supercritical,30.00000001,400,0.376975951159586,6.5,8,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,30.00000001,399.9999999999,0.35280893282292,6.5,8,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
