17:00 - 18:00,651,,n/e,n/e,715,,14971,,2270,,94,,n/e,n/e,n/e,n/e,649,,1101,,6716,,1225,,n/e,n/e,n/e,n/e,2563,,n/e,n/e,0,,31,,n/e,n/e,1616,
18:00 - 19:00,657,,n/e,n/e,716,,15011,,2214,,98,,n/e,n/e,n/e,n/e,669,,1039,,6294,,1043,,n/e,n/e,n/e,n/e,2568,,n/e,n/e,0,,32,,n/e,n/e,1718,
19:00 - 20:00,660,,n/e,n/e,715,,14369,,1888,,92,,n/e,n/e,n/e,n/e,667,,694,,5219,,924,,n/e,n/e,n/e,n/e,2441,,n/e,n/e,1,,33,,n/e,n/e,1937,
20:00 - 21:00,660,,n/e,n/e,716,,13590,,1523,,93,,n/e,n/e,n/e,n/e,667,,448,,4076,,530,,n/e,n/e,n/e,n/e,2322,,n/e,n/e,1,,32,,n/e,n/e,2205,
21:00 - 22:00,660,,n/e,n/e,716,,11666,,1244,,93,,n/e,n/e,n/e,n/e,667,,263,,3558,,497,,n/e,n/e,n/e,n/e,2029,,n/e,n/e,1,,34,,n/e,n/e,2483,
22:00 - 23:00,656,,n/e,n/e,717,,9875,,1210,,93,,n/e,n/e,n/e,n/e,667,,43,23,2880,,385,,n/e,n/e,n/e,n/e,1817,,n/e,n/e,1,,30,,n/e,n/e,2788,
23:00 - 00:00,654,,n/e,n/e,718,,8625,,1220,,93,,n/e,n/e,n/e,n/e,667,,0,404,2533,,282,,n/e,n/e,n/e,n/e,1640,,n/e,n/e,1,,30,,n/e,n/e,3114,
00:00 - 01:00,641,,n/e,n/e,716,,8313,,1216,,93,,n/e,n/e,n/e,n/e,667,,0,687,2451,,202,,n/e,n/e,n/e,n/e,1564,,n/e,n/e,0,,31,,n/e,n/e,3377,
01:00 - 02:00,638,,n/e,n/e,717,,7740,,1216,,93,,n/e,n/e,n/e,n/e,667,,0,723,2192,,174,,n/e,n/e,n/e,n/e,1558,,n/e,n/e,1,,32,,n/e,n/e,3371,
02:00 - 03:00,657,,n/e,n/e,715,,7628,,1218,,93,,n/e,n/e,n/e,n/e,667,,0,724,2142,,166,,n/e,n/e,n/e,n/e,1594,,n/e,n/e,0,,33,,n/e,n/e,3285,
03:00 - 04:00,662,,n/e,n/e,714,,7785,,1163,,93,,n/e,n/e,n/e,n/e,667,,0,539,2210,,163,,n/e,n/e,n/e,n/e,1572,,n/e,n/e,0,,35,,n/e,n/e,3178,
04:00 - 05:00,647,,n/e,n/e,716,,8101,,1157,,93,,n/e,n/e,n/e,n/e,667,,0,228,2480,,168,,n/e,n/e,n/e,n/e,1638,,n/e,n/e,0,,34,,n/e,n/e,3007,
05:00 - 06:00,645,,n/e,n/e,719,,9287,,1158,,93,,n/e,n/e,n/e,n/e,668,,0,144,2722,,259,,n/e,n/e,n/e,n/e,1694,,n/e,n/e,0,,32,,n/e,n/e,2781,
06:00 - 07:00,650,,n/e,n/e,718,,10271,,1157,,93,,n/e,n/e,n/e,n/e,668,,0,78,3557,,340,,n/e,n/e,n/e,n/e,1854,,n/e,n/e,51,,28,,n/e,n/e,2636,
07:00 - 08:00,650,,n/e,n/e,718,,10799,,1156,,92,,n/e,n/e,n/e,n/e,667,,19,1,4097,,371,,n/e,n/e,n/e,n/e,1948,,n/e,n/e,828,,30,,n/e,n/e,2416,
08:00 - 09:00,653,,n/e,n/e,729,,10693,,1157,,92,,n/e,n/e,n/e,n/e,666,,146,1,3848,,350,,n/e,n/e,n/e,n/e,2099,,n/e,n/e,2350,,33,,n/e,n/e,2137,
