12:00 - 13:00,142,,n/e,n/e,n/e,n/e,2157,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,119,,24,,n/e,n/e,n/e,n/e,4514,,583,,n/e,n/e,447,,245,,639,,440,
13:00 - 14:00,143,,n/e,n/e,n/e,n/e,2119,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,162,,24,,n/e,n/e,n/e,n/e,4514,,599,,n/e,n/e,305,,244,,649,,529,
14:00 - 15:00,145,,n/e,n/e,n/e,n/e,2122,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,163,,24,,n/e,n/e,n/e,n/e,4514,,583,,n/e,n/e,206,,237,,654,,567,
15:00 - 16:00,140,,n/e,n/e,n/e,n/e,2140,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,158,,24,,n/e,n/e,n/e,n/e,4514,,578,,n/e,n/e,64,,245,,657,,622,
16:00 - 17:00,139,,n/e,n/e,n/e,n/e,2201,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,147,,24,,n/e,n/e,n/e,n/e,4511,,595,,n/e,n/e,5,,246,,657,,663,
17:00 - 18:00,141,,n/e,n/e,n/e,n/e,2183,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,185,,26,,n/e,n/e,n/e,n/e,4511,,579,,n/e,n/e,0,,242,,657,,745,
18:00 - 19:00,143,,n/e,n/e,n/e,n/e,2241,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,367,,27,,n/e,n/e,n/e,n/e,4514,,552,,n/e,n/e,0,,243,,655,,798,
19:00 - 20:00,142,,n/e,n/e,n/e,n/e,2303,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,458,,27,,n/e,n/e,n/e,n/e,4512,,526,,n/e,n/e,0,,242,,652,,814,
20:00 - 21:00,141,,n/e,n/e,n/e,n/e,2298,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,233,,27,,n/e,n/e,n/e,n/e,4507,,511,,n/e,n/e,0,,248,,653,,797,
21:00 - 22:00,143,,n/e,n/e,n/e,n/e,2209,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,71,,27,,n/e,n/e,n/e,n/e,4508,,497,,n/e,n/e,0,,238,,648,,845,
22:00 - 23:00,145,,n/e,n/e,n/e,n/e,2281,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,240,,26,,n/e,n/e,n/e,n/e,4510,,496,,n/e,n/e,0,,249,,628,,705,
23:00 - 00:00,145,,n/e,n/e,n/e,n/e,2237,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,220,,27,,n/e,n/e,n/e,n/e,4507,,525,,n/e,n/e,0,,248,,575,,543,
00:00 - 01:00,137,,n/e,n/e,n/e,n/e,1626,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,423,27,,n/e,n/e,n/e,n/e,4507,,470,,n/e,n/e,0,,258,,489,,421,
01:00 - 02:00,122,,n/e,n/e,n/e,n/e,1451,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,617,27,,n/e,n/e,n/e,n/e,4507,,466,,n/e,n/e,0,,256,,388,,328,
02:00 - 03:00,117,,n/e,n/e,n/e,n/e,1558,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,819,27,,n/e,n/e,n/e,n/e,4507,,466,,n/e,n/e,0,,257,,361,,235,
03:00 - 04:00,135,,n/e,n/e,n/e,n/e,1558,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1070,27,,n/e,n/e,n/e,n/e,4505,,477,,n/e,n/e,0,,253,,241,,229,
04:00 - 05:00,138,,n/e,n/e,n/e,n/e,1502,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,992,28,,n/e,n/e,n/e,n/e,4504,,489,,n/e,n/e,0,,253,,328,,220,
05:00 - 06:00,141,,n/e,n/e,n/e,n/e,1480,,2,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,582,31,,n/e,n/e,n/e,n/e,4508,,470,,n/e,n/e,0,,258,,283,,278,
06:00 - 07:00,143,,n/e,n/e,n/e,n/e,1585,,6,,0,,n/e,n/e,n/e,n/e,n/e,n/e,37,139,34,,n/e,n/e,n/e,n/e,4508,,476,,n/e,n/e,0,,261,,318,,331,
07:00 - 08:00,141,,n/e,n/e,n/e,n/e,1834,,11,,0,,n/e,n/e,n/e,n/e,n/e,n/e,355,,35,,n/e,n/e,n/e,n/e,4508,,564,,n/e,n/e,0,,253,,362,,321,
08:00 - 09:00,140,,n/e,n/e,n/e,n/e,2253,,24,,11,,n/e,n/e,n/e,n/e,n/e,n/e,265,,34,,n/e,n/e,n/e,n/e,4511,,632,,n/e,n/e,0,,243,,375,,333,
09:00 - 10:00,140,,n/e,n/e,n/e,n/e,2591,,40,,112,,n/e,n/e,n/e,n/e,n/e,n/e,26,0,31,,n/e,n/e,n/e,n/e,4512,,657,,n/e,n/e,46,,255,,440,,328,
10:00 - 11:00,140,,n/e,n/e,n/e,n/e,2761,,58,,113,,n/e,n/e,n/e,n/e,n/e,n/e,93,0,30,,n/e,n/e,n/e,n/e,4507,,663,,n/e,n/e,132,,262,,270,,358,
11:00 - 12:00,144,,n/e,n/e,n/e,n/e,2775,,68,,113,,n/e,n/e,n/e,n/e,n/e,n/e,141,,32,,n/e,n/e,n/e,n/e,4514,,655,,n/e,n/e,223,,258,,462,,361,
12:00 - 13:00,143,,n/e,n/e,n/e,n/e,2860,,97,,113,,n/e,n/e,n/e,n/e,n/e,n/e,361,,32,,n/e,n/e,n/e,n/e,4540,,669,,n/e,n/e,261,,266,,463,,342,
13:00 - 14:00,139,,n/e,n/e,n/e,n/e,2879,,93,,113,,n/e,n/e,n/e,n/e,n/e,n/e,164,,32,,n/e,n/e,n/e,n/e,4569,,670,,n/e,n/e,230,,264,,535,,312,
14:00 - 15:00,141,,n/e,n/e,n/e,n/e,2860,,103,,112,,n/e,n/e,n/e,n/e,n/e,n/e,178,,34,,n/e,n/e,n/e,n/e,4589,,665,,n/e,n/e,183,,263,,572,,322,
15:00 - 16:00,142,,n/e,n/e,n/e,n/e,2849,,120,,112,,n/e,n/e,n/e,n/e,n/e,n/e,165,,37,,n/e,n/e,n/e,n/e,4591,,674,,n/e,n/e,97,,265,,547,,319,
16:00 - 17:00,145,,n/e,n/e,n/e,n/e,3010,,137,,112,,n/e,n/e,n/e,n/e,n/e,n/e,191,,39,,n/e,n/e,n/e,n/e,4593,,685,,n/e,n/e,16,,261,,516,,332,
17:00 - 18:00,145,,n/e,n/e,n/e,n/e,3068,,149,,3,,n/e,n/e,n/e,n/e,n/e,n/e,838,,40,,n/e,n/e,n/e,n/e,4596,,667,,n/e,n/e,0,,264,,512,,379,
18:00 - 19:00,143,,n/e,n/e,n/e,n/e,3057,,174,,0,,n/e,n/e,n/e,n/e,n/e,n/e,1053,,40,,n/e,n/e,n/e,n/e,4607,,692,,n/e,n/e,0,,265,,579,,424,
19:00 - 20:00,139,,n/e,n/e,n/e,n/e,2921,,182,,0,,n/e,n/e,n/e,n/e,n/e,n/e,556,,40,,n/e,n/e,n/e,n/e,4617,,665,,n/e,n/e,0,,265,,594,,474,
20:00 - 21:00,142,,n/e,n/e,n/e,n/e,2691,,182,,0,,n/e,n/e,n/e,n/e,n/e,n/e,69,1,40,,n/e,n/e,n/e,n/e,4637,,600,,n/e,n/e,0,,267,,489,,505,
21:00 - 22:00,141,,n/e,n/e,n/e,n/e,2617,,182,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,184,40,,n/e,n/e,n/e,n/e,4667,,575,,n/e,n/e,0,,266,,567,,525,
22:00 - 23:00,140,,n/e,n/e,n/e,n/e,2448,,183,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,77,39,,n/e,n/e,n/e,n/e,4691,,507,,n/e,n/e,0,,265,,582,,490,
23:00 - 00:00,140,,n/e,n/e,n/e,n/e,1812,,182,,0,,n/e,n/e,n/e,n/e,n/e,n/e,163,0,38,,n/e,n/e,n/e,n/e,4707,,539,,n/e,n/e,0,,268,,474,,422,
00:00 - 01:00,146,,n/e,n/e,n/e,n/e,1554,,128,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,185,35,,n/e,n/e,n/e,n/e,4715,,488,,n/e,n/e,0,,267,,425,,390,
01:00 - 02:00,167,,n/e,n/e,n/e,n/e,1539,,75,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,738,34,,n/e,n/e,n/e,n/e,4721,,455,,n/e,n/e,0,,266,,476,,378,
02:00 - 03:00,171,,n/e,n/e,n/e,n/e,1464,,74,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1084,34,,n/e,n/e,n/e,n/e,4726,,459,,n/e,n/e,0,,263,,508,,400,
03:00 - 04:00,206,,n/e,n/e,n/e,n/e,1484,,74,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1148,35,,n/e,n/e,n/e,n/e,4750,,452,,n/e,n/e,0,,266,,524,,377,
04:00 - 05:00,233,,n/e,n/e,n/e,n/e,1492,,74,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1095,36,,n/e,n/e,n/e,n/e,4765,,443,,n/e,n/e,0,,268,,499,,370,
05:00 - 06:00,256,,n/e,n/e,n/e,n/e,1601,,75,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,931,36,,n/e,n/e,n/e,n/e,4775,,440,,n/e,n/e,0,,268,,525,,356,
06:00 - 07:00,295,,n/e,n/e,n/e,n/e,1796,,125,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,256,37,,n/e,n/e,n/e,n/e,4789,,438,,n/e,n/e,0,,266,,548,,405,
07:00 - 08:00,334,,n/e,n/e,n/e,n/e,2483,,172,,0,,n/e,n/e,n/e,n/e,n/e,n/e,47,0,37,,n/e,n/e,n/e,n/e,4809,,518,,n/e,n/e,0,,265,,483,,371,
08:00 - 09:00,347,,n/e,n/e,n/e,n/e,2853,,200,,0,,n/e,n/e,n/e,n/e,n/e,n/e,127,,36,,n/e,n/e,n/e,n/e,4823,,620,,n/e,n/e,0,,263,,508,,347,
09:00 - 10:00,347,,n/e,n/e,n/e,n/e,2852,,208,,0,,n/e,n/e,n/e,n/e,n/e,n/e,118,,30,,n/e,n/e,n/e,n/e,4842,,632,,n/e,n/e,37,,264,,520,,329,
10:00 - 11:00,348,,n/e,n/e,n/e,n/e,2819,,218,,0,,n/e,n/e,n/e,n/e,n/e,n/e,97,,30,,n/e,n/e,n/e,n/e,4852,,617,,n/e,n/e,122,,260,,558,,324,
11:00 - 12:00,348,,n/e,n/e,n/e,n/e,2828,,216,,0,,n/e,n/e,n/e,n/e,n/e,n/e,208,,29,,n/e,n/e,n/e,n/e,4862,,625,,n/e,n/e,191,,258,,577,,388,
12:00 - 13:00,347,,n/e,n/e,n/e,n/e,2720,,219,,0,,n/e,n/e,n/e,n/e,n/e,n/e,17,22,30,,n/e,n/e,n/e,n/e,4871,,630,,n/e,n/e,200,,264,,538,,382,
13:00 - 14:00,340,,n/e,n/e,n/e,n/e,2596,,219,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1,35,,n/e,n/e,n/e,n/e,4880,,627,,n/e,n/e,161,,265,,499,,308,
14:00 - 15:00,330,,n/e,n/e,n/e,n/e,2518,,219,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,12,37,,n/e,n/e,n/e,n/e,4890,,633,,n/e,n/e,139,,264,,473,,240,
15:00 - 16:00,322,,n/e,n/e,n/e,n/e,2466,,220,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1,37,,n/e,n/e,n/e,n/e,4893,,636,,n/e,n/e,80,,265,,413,,218,
16:00 - 17:00,343,,n/e,n/e,n/e,n/e,2384,,220,,0,,n/e,n/e,n/e,n/e,n/e,n/e,1,0,37,,n/e,n/e,n/e,n/e,4900,,642,,n/e,n/e,10,,268,,428,,235,
17:00 - 18:00,351,,n/e,n/e,n/e,n/e,2808,,219,,0,,n/e,n/e,n/e,n/e,n/e,n/e,780,,37,,n/e,n/e,n/e,n/e,4911,,634,,n/e,n/e,0,,267,,446,,257,
18:00 - 19:00,349,,n/e,n/e,n/e,n/e,2804,,219,,0,,n/e,n/e,n/e,n/e,n/e,n/e,973,,35,,n/e,n/e,n/e,n/e,4921,,603,,n/e,n/e,0,,270,,418,,236,
19:00 - 20:00,351,,n/e,n/e,n/e,n/e,2859,,218,,0,,n/e,n/e,n/e,n/e,n/e,n/e,825,,35,,n/e,n/e,n/e,n/e,4924,,562,,n/e,n/e,0,,267,,360,,237,
20:00 - 21:00,350,,n/e,n/e,n/e,n/e,2636,,218,,0,,n/e,n/e,n/e,n/e,n/e,n/e,405,,34,,n/e,n/e,n/e,n/e,4924,,540,,n/e,n/e,0,,268,,392,,293,
21:00 - 22:00,352,,n/e,n/e,n/e,n/e,1931,,218,,0,,n/e,n/e,n/e,n/e,n/e,n/e,5,3,34,,n/e,n/e,n/e,n/e,4924,,512,,n/e,n/e,0,,267,,388,,265,
22:00 - 23:00,348,,n/e,n/e,n/e,n/e,1813,,219,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1,20,,n/e,n/e,n/e,n/e,4928,,508,,n/e,n/e,0,,267,,315,,217,
23:00 - 00:00,347,,n/e,n/e,n/e,n/e,1849,,212,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,0,19,,n/e,n/e,n/e,n/e,4928,,536,,n/e,n/e,0,,271,,267,,182,
00:00 - 01:00,287,,n/e,n/e,n/e,n/e,1630,,131,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,85,23,,n/e,n/e,n/e,n/e,4929,,486,,n/e,n/e,0,,268,,298,,144,
01:00 - 02:00,261,,n/e,n/e,n/e,n/e,1618,,79,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,762,24,,n/e,n/e,n/e,n/e,4928,,469,,n/e,n/e,0,,269,,298,,126,
02:00 - 03:00,269,,n/e,n/e,n/e,n/e,1650,,79,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1023,24,,n/e,n/e,n/e,n/e,4927,,472,,n/e,n/e,0,,266,,294,,101,
03:00 - 04:00,268,,n/e,n/e,n/e,n/e,1657,,106,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1145,24,,n/e,n/e,n/e,n/e,4931,,468,,n/e,n/e,0,,268,,232,,91,
