Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Company,Clustered
,Pumpspeicherkraftwerk Glems,90.0,1.0,DE,,,HPHS,Hydro,0.75,,,,,,,,,,,,no,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Bittenbrunn,20.2,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Donau-Wasserkraft AG,no
,Lehmen,20.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Kachlet,100.2,3.0,DE,,,HROR,Hydro,0.8000000000000002,,,,,,,,,,,,no,,,0.0,,,,,,,,,,,Rhein-Main-Donau GmbH,yes
,Rheinkraftwerk Reckingen,19.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Roßhaupten,45.5,1.0,DE,,,HROR,Hydro,,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Rheinkraftwerk Ryburg-Schwörstadt ,30.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Detzem,24.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Kraftwerksgruppe Pfreimd,28.0,1.0,DE,,,HPHS,Hydro,0.75,,,,,,,,,,,,no,,,,,,,,,,,,,,ENGIE Deutschland AG,no
,Kraftwerksgruppe Pfreimd,3.3,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,ENGIE Deutschland AG,no
,Kraftwerksgruppe Pfreimd,1.8,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,ENGIE Deutschland AG,no
,Kraftwerksgruppe Pfreimd,99.0,1.0,DE,,,HPHS,Hydro,0.75,,,,,,,,,,,,no,,,,,,,,,,,,,,ENGIE Deutschland AG,no
,Leitzach 1,48.0,1.0,DE,,,HPHS,Hydro,0.75,,,,,,,,,,,,no,,,,,,,,,,,,,,Stadtwerke München GmbH,no
,Leitzach 2,44.0,1.0,DE,,,HPHS,Hydro,0.75,,,,,,,,,,,,no,,,,,,,,,,,,,,Stadtwerke München GmbH,no
,Vohburg,23.3,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Donau-Wasserkraft AG,no
,Uppenborn 1,25.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Stadtwerke München GmbH,no
,Wintrich,20.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Weserkraftwerk Bremen,9.9,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Weserkraftwerk Bremen GmbH & Co. KG,no
,Bigge,15.0,1.0,DE,,,HROR,Hydro,,,,,,,,,,,,,no,,,,,,,,,,,,,,Bigge Energie GmbH & Co. KG,no
,Dessau,10.3,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Dettingen,11.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Kernkraftwerk Obrigheim GmbH,no
,Dingolfing,15.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Eitting,26.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Fankel,16.4,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Ellgau,53.8,5.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,0.0,,,,,,,,,,,Bayerische Elektrizitätswerke GmbH,yes
,Enkirch,18.4,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Altheim,17.8,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Serrig,12.1,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Schwammenauel,14.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Heimbach,16.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Ingolstadt,19.8,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Donau-Wasserkraft AG,no
,Kaufering,16.7,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Unteropfingen,14.5,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Koblenz,16.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Faimingen,10.1,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Obere Donau Kraftwerke AG,no
,Urspring,10.1,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Prem,19.2,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Merching,12.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Pfrombach,22.3,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Müden,16.4,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Neef,16.4,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Niederaichbach,16.2,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Gummering,14.8,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Aufkirchen,27.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Landau,12.6,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Pielweichs,12.6,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Prittriching,12.1,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Bertoldsheim,18.9,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Donau-Wasserkraft AG,no
,Schwabstadl,12.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Scheuring,12.2,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Unterbergen,12.3,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,UPM Schongau,10.5,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,UPM GmbH,no
,Dornau,16.6,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Mühltal,11.2,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Tannheim,12.3,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Uppenborn 2,18.0,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Stadtwerke München GmbH,no
,Trier,18.8,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Obernach,12.8,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Ettling,12.6,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Zeltingen,13.6,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,innogy SE,no
,Kraftwerk 3,18.95,1.0,DE,,,HROR,Hydro,0.8,,,,,,,,,,,,no,,,,,,,,,,,,,,Alzkraftwerke Heider GmbH,no
,Lippendorf,875.0,1.0,DE,,,STUR,Lignite,0.4,,,,,,,,,,,,yes,,,230,,,,,,,,,,,Lausitz Energie Kraftwerke AG,no
,Braunkohlekraftwerk Lippendorf,875.0,1.0,DE,,,STUR,Lignite,0.3976,,,,,,,,,,,,yes,,,230,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Boxberg,2427.0,4.0,DE,,,STUR,Lignite,0.3994,,,,,,,,,,,,yes,,,125.0,,,,,,,,,,,Lausitz Energie Kraftwerke AG,yes
,HKW Chemnitz  Nord II,56.8,1.0,DE,,,STUR,Lignite,0.3712,,,,,,,,,,,,yes,,,,,,,,,,,,,,eins - energie in sachsen GmbH & Co. KG,no
,HKW Chemnitz  Nord II,90.8,1.0,DE,,,STUR,Lignite,0.376,,,,,,,,,,,,yes,,,,,,,,,,,,,,eins - energie in sachsen GmbH & Co. KG,no
,HKW Cottbus,74.0,1.0,DE,,,STUR,Lignite,0.3976,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stadtwerke Cottbus mbH,no
,Deuben,158.0,3.0,DE,,,STUR,Lignite,0.3184,,,,,,,,,,,,yes,,,0.0,,,,,,,,,,,Mitteldeutsche Braunkohlengesellschaft mbH,yes
,Frechen/Wachtberg,176.0,1.0,DE,,,STUR,Lignite,0.3712,,,,,,,,,,,,yes,,,251,,,,,,,,,,,RWE Power AG,no
,Frimmersdorf,2008.0,13.0,DE,,,STUR,Lignite,0.3163692307692308,,,,,,,,,,,,no,,,30.0,,,,,,,,,,,RWE Power AG,yes
,Buschhaus,352.0,1.0,DE,,,STUR,Lignite,0.364,,,,,,,,,,,,no,,,,,,,,,,,,,,Helmstedter Revier GmbH,no
,Goldenberg,85.0,3.0,DE,,,STUR,Lignite,0.3824,,,,,,,,,,,,yes,,,0.0,,,,,,,,,,,RWE Power AG,yes
,Ville/Berrenrath,98.0,1.0,DE,,,STUR,Lignite,0.2008,,,,,,,,,,,,yes,,,,,,,,,,,,,,RWE Power AG,no
,FKK,33.5,1.0,DE,,,STUR,Lignite,0.3736,,,,,,,,,,,,yes,,,,,,,,,,,,,,Städtische Werke Energie + Wärme GmbH,no
,HKW Merkenich,75.3,1.0,DE,,,STUR,Lignite,0.424,,,,,,,,,,,,yes,,,139.3215859030837,,,,,,,,,,,RheinEnergie AG,no
,Neurath,2091.0,5.0,DE,,,STUR,Lignite,0.33664,,,,,,,,,,,,no,,,9.0,,,,,,,,,,,RWE Power AG,yes
,Niederaußem,3656.0,9.0,DE,,,STUR,Lignite,0.3517333333333333,,,,,,,,,,,,yes,,,245.0,,,,,,,,,,,RWE Power AG,yes
,Fortuna Nord,15.0,1.0,DE,,,STUR,Lignite,0.2536,,,,,,,,,,,,yes,,,,,,,,,,,,,,RWE Power AG,no
,KW Jänschwalde,2790.0,6.0,DE,,,STUR,Lignite,0.384,,,,,,,,,,,,yes,,,305.2,,,,,,,,,,,Lausitz Energie Kraftwerke AG,yes
,Schkopau,900.0,2.0,DE,,,STUR,Lignite,0.3904,,,,,,,,,,,,yes,,,200,,,,,,,,,,,Uniper Kraftwerke GmbH ,yes
,Schwarze Pumpe,1500.0,2.0,DE,,,STUR,Lignite,0.394,,,,,,,,,,,,yes,,,120,,,,,,,,,,,Lausitz Energie Kraftwerke AG,yes
,Weisweiler,123.0,1.0,DE,,,STUR,Lignite,0.292,,,,,,,,,,,,yes,,,,,,,,,,,,,,RWE Power AG,no
,Weisweiler,135.0,1.0,DE,,,STUR,Lignite,0.3016,,,,,,,,,,,,no,,,,,,,,,,,,,,RWE Power AG,no
,Weisweiler,321.0,1.0,DE,,,STUR,Lignite,0.316,,,,,,,,,,,,no,,,,,,,,,,,,,,RWE Power AG,no
,Weisweiler,321.0,1.0,DE,,,STUR,Lignite,0.3208,,,,,,,,,,,,no,,,,,,,,,,,,,,RWE Power AG,no
,Weisweiler,663.0,1.0,DE,,,STUR,Lignite,0.3376,,,,,,,,,,,,yes,,,91.5,,,,,,,,,,,RWE Power AG,no
,Weisweiler,656.0,1.0,DE,,,STUR,Lignite,0.34,,,,,,,,,,,,yes,,,91.5,,,,,,,,,,,RWE Power AG,no
,Kohlekraftwerk,19.5,1.0,DE,,,STUR,Lignite,0.424,,,,,,,,,,,,yes,,,,,,,,,,,,,,Smurfit Kappa Zülpich Papier GmbH,no
,P&L Werk Euskirchen,14.5,1.0,DE,,,STUR,Lignite,0.3496,,,,,,,,,,,,yes,,,,,,,,,,,,,,Pfeifer & Langen GmbH & Co. KG,no
,P&L Werk Jülich,23.22,1.0,DE,,,STUR,Lignite,0.4096,,,,,,,,,,,,yes,,,,,,,,,,,,,,Pfeifer & Langen GmbH & Co. KG,no
,P&L Werk Könnern,20.3,1.0,DE,,,STUR,Lignite,0.4336,,,,,,,,,,,,yes,,,,,,,,,,,,,,Pfeifer & Langen GmbH & Co. KG,no
,Kraftwerk,10.0,1.0,DE,,,STUR,Lignite,0.388,,,,,,,,,,,,yes,,,,,,,,,,,,,,Martinswerk GmbH,no
,Kraftwerk,10.0,1.0,DE,,,STUR,Lignite,0.388,,,,,,,,,,,,yes,,,,,,,,,,,,,,Martinswerk GmbH,no
,EZ1,23.3,1.0,DE,,,STUR,Lignite,0.3832,,,,,,,,,,,,yes,,,,,,,,,,,,,,"Südzucker AG, Werk Zeitz",no
,BoA 2,1060.0,1.0,DE,,,STUR,Lignite,0.4288,,,,,,,,,,,,no,,,,,,,,,,,,,,RWE Power AG,no
,BoA 3,1060.0,1.0,DE,,,STUR,Lignite,0.4288,,,,,,,,,,,,no,,,,,,,,,,,,,,RWE Power AG,no
,HKW Sachtleben,27.5,1.0,DE,,,STUR,Lignite,0.3136,,,,,,,,,,,,yes,,,,,,,,,,,,,,Venator Germany GmbH,no
,Grubenheizkraftwerk,45.0,1.0,DE,,,STUR,Lignite,0.3496,,,,,,,,,,,,yes,,,,,,,,,,,,,,ROMONTA GmbH,no
,Kessel 4,9.3,1.0,DE,,,STUR,Lignite,0.3592,,,,,,,,,,,,yes,,,,,,,,,,,,,,Papierfabrik Schoellershammer H. A. Schoeller Söhne GmbH & Co KG,no
,Ahrensfelde,150.0,4.0,DE,,,GTUR,Natural gas,0.354,,,,,,,,,,,,no,,,0.0,,,,,,,,,,,Lausitz Energie Kraftwerke AG,yes
,Werkskraftwerk Sappi Alfeld,11.0,1.0,DE,,,STUR,Natural gas,0.3267,,,,,,,,,,,,yes,,,,,,,,,,,,,,Sappi Alfeld GmbH,no
,Heizkraftwerk Altbach/Deizisau,65.0,1.0,DE,,,GTUR,Natural gas,0.3722,,,,,,,,,,,,yes,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Heizkraftwerk Altbach/Deizisau,50.0,1.0,DE,,,GTUR,Natural gas,0.3046,,,,,,,,,,,,no,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Heizkraftwerk Altbach/Deizisau,57.0,1.0,DE,,,GTUR,Natural gas,0.3098,,,,,,,,,,,,no,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Heizkraftwerk Altbach/Deizisau,81.0,1.0,DE,,,GTUR,Natural gas,0.315,,,,,,,,,,,,no,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Kesselhaus Zuckerfabrik,15.1,1.0,DE,,,STUR,Natural gas,0.3773,,,,,,,,,,,,yes,,,,,,,,,,,,,,Suiker Unie GmbH & Co. KG,no
,Gasturbine,82.6,2.0,DE,,,GTUR,Natural gas,0.38,,,,,,,,,,,,yes,,,0.0,,,,,,,,,,,Stadtwerke Augsburg Energie GmbH,yes
,KWK-Anlage Barby,17.8,1.0,DE,,,STUR,Natural gas,0.3784,,,,,,,,,,,,yes,,,,,,,,,,,,,,Cargill Deutschland GmbH,no
,HKW Kassel,12.2,1.0,DE,,,STUR,Natural gas,,,,,,,,,,,,,yes,,,,,,,,,,,,,,Volkswagen AG,no
,"GuD Baunatal, VW Werksgelände",78.0,1.0,DE,,,COMC,Natural gas,0.5895,,,,,,,,,,,,yes,,,,,,,,,,,,,,Volkswagen AG,no
,Mitte,444.0,1.0,DE,,,COMC,Natural gas,0.522,,,,,,,,,,,,yes,,,1210.0,,,,,,,,,,,Vattenfall Wärme Berlin AG,no
,Charlottenburg,144.0,1.0,DE,,,STUR,Natural gas,0.3575,,,,,,,,,,,,yes,,,,,,,,,,,,,,Vattenfall Wärme Berlin AG,no
,Lichterfelde,721.0,4.0,DE,,,STUR,Natural gas,0.3721666666666667,,,,,,,,,,,,yes,,,0.0,,,,,,,,,,,Vattenfall Wärme Berlin AG,yes
,Klingenberg,164.0,1.0,DE,,,STUR,Natural gas,0.4037,,,,,,,,,,,,yes,,,590,,,,,,,,,,,Vattenfall Wärme Berlin AG,no
,Industriekraftwerk Bernburg (IKB),140.5,1.0,DE,,,COMC,Natural gas,0.63,,,,,,,,,,,,yes,,,185.73219373219374,,,,,,,,,,,Solvay Chemicals GmbH,no
,HKW Schildescher Straße,64.0,2.0,DE,,,STUR,Natural gas,0.35365,,,,,,,,,,,,yes,,,0.0,,,,,,,,,,,Stadtwerke Bielefeld GmbH,yes
,Gasturbinenkraftwerk Bielefeld Ummeln,55.0,1.0,DE,,,GTUR,Natural gas,0.315,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,GuD Kraftwerk Hillegossen,37.5,1.0,DE,,,COMC,Natural gas,0.5625,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stadtwerke Bielefeld GmbH,no
,GuD Bitterfeld,106.0,1.0,DE,,,COMC,Natural gas,0.54,,,,,,,,,,,,yes,,,110,,,,,,,,,,,envia THERM GmbH,no
,Bochum,20.7,1.0,DE,,,STUR,Natural gas,0.3894,,,,,,,,,,,,yes,,,,,,,,,,,,,,RWE Generation SE,no
,HKW Hiltrop,44.0,1.0,DE,,,STUR,Natural gas,0.3993,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stadtwerke Bochum Holding GmbH,no
,Heizkraftwerk Karlstraße,95.0,1.0,DE,,,STUR,Natural gas,0.3993,,,,,,,,,,,,yes,,,,,,,,,,,,,,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,no
,Heizkraftwerk Süd,14.4,1.0,DE,,,STUR,Natural gas,,,,,,,,,,,,,yes,,,,,,,,,,,,,,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,no
,HKW,63.0,2.0,DE,,,STUR,Natural gas,0.3839,,,,,,,,,,,,yes,,,0.0,,,,,,,,,,,StWB Stadtwerke Brandenburg an der Havel GmbH & Co. KG,yes
,Kirchmöser,160.0,1.0,DE,,,COMC,Natural gas,0.513,,,,,,,,,,,,no,,,n.b.,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,HKW-Mitte,20.0,1.0,DE,,,COMC,Natural gas,0.4095,,,,,,,,,,,,yes,,,56.1835396941005,,,,,,,,,,,Braunschweiger Versorgungs-AG & Co. KG,no
,HKW-Mitte,74.0,1.0,DE,,,COMC,Natural gas,0.585,,,,,,,,,,,,yes,,,207.87909686817187,,,,,,,,,,,Braunschweiger Versorgungs-AG & Co. KG,no
,HKW-Nord,25.0,1.0,DE,,,GTUR,Natural gas,0.289,,,,,,,,,,,,yes,,,,,,,,,,,,,,Braunschweiger Versorgungs-AG & Co. KG,no
,KW Hastedt,155.0,1.0,DE,,,STUR,Natural gas,,,,,,,,,,,,,yes,,,,,,,,,,,,,,swb Erzeugung GmbH & Co. KG,no
,Egger Kraftwerk Brilon,13.5,1.0,DE,,,GTUR,Natural gas,0.3696,,,,,,,,,,,,yes,,,,,,,,,,,,,,Egger Holzwerkstoffe Brilon GmbH & Co. KG,no
,Burghausen 01 - GT,120.0,1.0,DE,,,COMC,Natural gas,0.5445,,,,,,,,,,,,yes,,,350,,,,,,,,,,,Wacker Chemie AG,no
,Burghausen 01 - DT,50.0,1.0,DE,,,STUR,Natural gas,0.3619,,,,,,,,,,,,yes,,,,,,,,,,,,,,Wacker Chemie AG,no
,Industriepark Werk Gendorf,73.1,1.0,DE,,,STUR,Natural gas,0.3872,,,,,,,,,,,,yes,,,,,,,,,,,,,,InfraServ GmbH & Co. Gendorf KG,no
,HKW Chemnitz  Nord II,57.2,1.0,DE,,,STUR,Natural gas,0.3696,,,,,,,,,,,,yes,,,,,,,,,,,,,,eins - energie in sachsen GmbH & Co. KG,no
,Kraftwerk Dessau,39.0,1.0,DE,,,STUR,Natural gas,0.3806,,,,,,,,,,,,yes,,,,,,,,,,,,,,Fernwärmeversorgungs-GmbH Dessau,no
,Dormagen,586.0,1.0,DE,,,COMC,Natural gas,0.54,,,,,,,,,,,,yes,,,480,,,,,,,,,,,RWE Generation SE,no
,Dortmund,26.0,1.0,DE,,,STUR,Natural gas,0.3894,,,,,,,,,,,,yes,,,,,,,,,,,,,,RWE Generation SE,no
,HKW Dresden-Nossener Brücke,260.0,1.0,DE,,,COMC,Natural gas,0.5175,,,,,,,,,,,,yes,,,455,,,,,,,,,,,DREWAG Stadtwerke Dresden GmbH,no
,HKW III/A,40.0,1.0,DE,,,STUR,Natural gas,0.3872,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stadtwerke Duisburg AG,no
,HKW III/B,234.0,1.0,DE,,,COMC,Natural gas,0.5625,,,,,,,,,,,,yes,,,167,,,,,,,,,,,Stadtwerke Duisburg AG,no
,GuD,695.0,2.0,DE,,,COMC,Natural gas,0.5760000000000001,,,,,,,,,,,,yes,,,75.0,,,,,,,,,,,Stadtwerke Düsseldorf AG,yes
,GT,64.7,1.0,DE,,,GTUR,Natural gas,0.315,,,,,,,,,,,,no,,,,,,,,,,,,,,Stadtwerke Düsseldorf AG,no
,GT,66.7,1.0,DE,,,GTUR,Natural gas,0.3124,,,,,,,,,,,,no,,,,,,,,,,,,,,Stadtwerke Düsseldorf AG,no
,Gasblock,293.0,1.0,DE,,,STUR,Natural gas,0.3597,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stadtwerke Düsseldorf AG,no
,Werkskraftwerk Sappi Ehingen,4.0,1.0,DE,,,STUR,Natural gas,0.3597,,,,,,,,,,,,yes,,,,,,,,,,,,,,Sappi Ehingen GmbH,no
,Kombikraftwerk,46.6,1.0,DE,,,STUR,Natural gas,0.3773,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stora Enso Sachsen GmbH,no
,Huntorf,321.0,1.0,DE,,,GTUR,Natural gas,0.3956,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,HKW Eltmann,116.0,2.0,DE,,,STUR,Natural gas,0.3927,,,,,,,,,,,,yes,,,0.0,,,,,,,,,,,Palm Power GmbH & Co. KG,yes
,Emden Gas,433.0,1.0,DE,,,STUR,Natural gas,0.3553,,,,,,,,,,,,no,,,,,,,,,,,,,,Statkraft Markets GmbH,no
,HKW Iderhoffstraße,11.0,1.0,DE,,,STUR,Natural gas,0.3806,,,,,,,,,,,,yes,,,,,,,,,,,,,,SWE Energie GmbH,no
,HKW Erfurt-Ost,109.1,2.0,DE,,,COMC,Natural gas,0.56925,,,,,,,,,,,,yes,,,264.0,,,,,,,,,,,SWE Energie GmbH,yes
,HKW Erlangen,21.6,1.0,DE,,,COMC,Natural gas,0.5625,,,,,,,,,,,,yes,,,,,,,,,,,,,,Erlanger Stadtwerke AG,no
,HKW Erlangen,6.7,1.0,DE,,,COMC,Natural gas,0.603,,,,,,,,,,,,yes,,,,,,,,,,,,,,Erlanger Stadtwerke AG,no
,Heizkraftwerk FFO,48.0,1.0,DE,,,COMC,Natural gas,0.5265,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stadtwerke Frankfurt (Oder) GmbH,no
,HKW Niederrad,126.0,2.0,DE,,,STUR,Natural gas,0.3894,,,,,,,,,,,,yes,,,0.0,,,,,,,,,,,Mainova AG,yes
,HKW West,99.0,1.0,DE,,,STUR,Natural gas,0.3784,,,,,,,,,,,,yes,,,,,,,,,,,,,,Mainova AG,no
,GuD Anlage WVK,38.6,1.0,DE,,,COMC,Natural gas,0.531,,,,,,,,,,,,yes,,,,,,,,,,,,,,Rhodia Acetow GmbH,no
,Heizkraftwerk Gera-Nord,74.0,1.0,DE,,,STUR,Natural gas,0.3806,,,,,,,,,,,,yes,,,,,,,,,,,,,,Energieversorgung Gera GmbH,no
,HKW Göttingen,18.8,1.0,DE,,,STUR,Natural gas,0.3828,,,,,,,,,,,,yes,,,,,,,,,,,,,,Georg-August-Universität Göttingen Stiftung Öffentlichen Rechts,no
,"HKW ""Helmshäger Berg""",14.7,1.0,DE,,,GTUR,Natural gas,0.3696,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stadtwerke Greifswald GmbH,no
,Kraftwerk Grenzach-Wyhlen,30.0,1.0,DE,,,STUR,Natural gas,0.4037,,,,,,,,,,,,yes,,,,,,,,,,,,,,KGW - Kraftwerk Grenzach-Wyhlen GmbH,no
,Staudinger,572.0,1.0,DE,,,STUR,Natural gas,0.3597,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Energiezentrum Mohn Media,25.0,1.0,DE,,,STUR,Natural gas,0.3784,,,,,,,,,,,,yes,,,,,,,,,,,,,,Mohn Media Mohndruck GmbH,no
,Heizkraftwerk Hagen-Kabel,230.0,1.0,DE,,,STUR,Natural gas,0.363,,,,,,,,,,,,no,,,,,,,,,,,,,,Mark-E AG,no
,HKW Halle Trotha,97.0,1.0,DE,,,STUR,Natural gas,0.3905,,,,,,,,,,,,yes,,,,,,,,,,,,,,EVH GmbH,no
,HKW Halle Trotha,56.1,1.0,DE,,,COMC,Natural gas,0.5985,,,,,,,,,,,,yes,,,,,,,,,,,,,,Heizkraftwerk Halle-Trotha GmbH,no
,GuD Tiefstack,127.0,1.0,DE,,,COMC,Natural gas,0.5805,,,,,,,,,,,,yes,,,170,,,,,,,,,,,Wärme Hamburg GmbH,no
