Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Company
,Kraftwerk I,169.32,1.0,DE,,,COMC,HRD,0.27,5.0,,,,,,,,,,,,,,475.1444353518822,,,,,,,,,,,Evonik Degussa GmbH
,Heizkraftwerk Offenbach,54.0,1.0,DE,,,STUR,HRD,0.4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Energieversorgung Offenbach AG
,Heyden,875.0,1.0,DE,,,STUR,HRD,0.3925,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Heizkraftwerk Pforzheim GmbH,26.9,1.0,DE,,,STUR,HRD,0.4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Heizkraftwerk Pforzheim GmbH
,Kraftwerk Veltheim,93.0,1.0,DE,,,STUR,HRD,0.3375,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Gemeinschaftskraftwerk Veltheim GmbH
,Kraftwerk Veltheim,303.0,1.0,DE,,,STUR,HRD,0.35,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Weiher,655.6,1.0,DE,,,STUR,HRD,0.365,8.0,,,,,,,,,,,,,,30.0,,,,,,,,,,,Steag GmbH
,KNG Kraftwerk Rostock,514.0,1.0,DE,,,STUR,HRD,0.41,8.0,,,,,,,,,,,,,,150.0,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,HKW Römerbrücke,50.0,1.0,DE,,,STUR,HRD,0.4375,8.0,,,,,,,,,,,,,,94.0,,,,,,,,,,,Energie SaarLorLux AG
,Heizkraftwerk der Sappi Stockstadt GmbH,24.79,1.0,DE,,,STUR,HRD,0.35,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Sappi Stockstadt GmbH
,Heizkraftwerk Stuttgart-Gaisburg,22.6,1.0,DE,,,STUR,HRD,0.4475,8.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Restmüll-Heizkraftwerk Stuttgart-Münster,45.0,1.0,DE,,,STUR,HRD,0.38,8.0,,,,,,,,,,,,,,183.6986301369863,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Restmüll-Heizkraftwerk Stuttgart-Münster,45.0,1.0,DE,,,STUR,HRD,0.385,8.0,,,,,,,,,,,,,,183.6986301369863,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Nord 2,332.7,1.0,DE,,,STUR,HRD,0.4025,8.0,,,,,,,,,,,,,,550.0,,,,,,,,,,,SWM Services GmbH
,KW West,640.0,2.0,DE,,,STUR,HRD,0.3525,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Steag GmbH
,KW Voerde,1390.0,2.0,DE,,,STUR,HRD,0.38375,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,RWE Generation SE
,Modellkraftwerk,179.0,1.0,DE,,,STUR,HRD,0.38,8.0,,,,,,,,,,,,,,210.0,,,,,,,,,,,Steag GmbH
,Heizkraftwerk,211.0,1.0,DE,,,STUR,HRD,0.3975,8.0,,,,,,,,,,,,,,185.0,,,,,,,,,,,Steag GmbH
,Kraftwerk Walheim,96.0,1.0,DE,,,STUR,HRD,0.4525,8.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
