,PHOT,WTOF,WTON
2016-01-06 13:30:00,0.014,0.0,0.07654649999999995
2016-01-06 14:00:00,0.003,0.0,0.0837909999999999
2016-01-06 14:30:00,0.0015,0.0,0.08562799999999995
2016-01-06 15:00:00,0.0,0.0,0.087465
2016-01-06 15:30:00,0.0,0.0,0.094533
2016-01-06 16:00:00,0.0,0.0,0.101601
2016-01-06 16:30:00,0.0,0.0,0.102578
2016-01-06 17:00:00,0.0,0.0,0.103555
2016-01-06 17:30:00,0.0,0.0,0.09114349999999999
2016-01-06 18:00:00,0.0,0.0,0.078732
2016-01-06 18:30:00,0.0,0.0,0.06834849999999995
2016-01-06 19:00:00,0.0,0.0,0.0579649999999999
2016-01-06 19:30:00,0.0,0.0,0.04177249999999995
2016-01-06 20:00:00,0.0,0.0,0.02558
2016-01-06 20:30:00,0.0,0.0,0.0181435
2016-01-06 21:00:00,0.0,0.0,0.010707
2016-01-06 21:30:00,0.0,0.0,0.009936
2016-01-06 22:00:00,0.0,0.0,0.009165
2016-01-06 22:30:00,0.0,0.0,0.010683499999999999
2016-01-06 23:00:00,0.0,0.0,0.012202
2016-01-06 23:30:00,0.0,0.0,0.024301000000000003
2016-01-07 00:00:00,0.0,0.0,0.0364
2016-01-07 00:30:00,0.0,0.0,0.0548885
2016-01-07 01:00:00,0.0,0.0,0.073377
2016-01-07 01:30:00,0.0,0.0,0.113188
2016-01-07 02:00:00,0.0,0.0,0.152999
2016-01-07 02:30:00,0.0,0.0,0.18660300000000002
2016-01-07 03:00:00,0.0,0.0,0.220207
2016-01-07 03:30:00,0.0,0.0,0.23599599999999998
2016-01-07 04:00:00,0.0,0.0,0.251785
2016-01-07 04:30:00,0.0,0.0,0.26453499999999996
2016-01-07 05:00:00,0.0,0.0,0.277285
2016-01-07 05:30:00,0.009,0.0,0.2650595
2016-01-07 06:00:00,0.018,0.0,0.252834
2016-01-07 06:30:00,0.051000000000000004,0.0,0.193108
2016-01-07 07:00:00,0.084,0.0,0.133382
2016-01-07 07:30:00,0.12399999999999994,0.0,0.11631749999999999
2016-01-07 08:00:00,0.1639999999999999,0.0,0.099253
2016-01-07 08:30:00,0.20099999999999996,0.0,0.1531725
2016-01-07 09:00:00,0.238,0.0,0.207092
2016-01-07 09:30:00,0.2545,0.0,0.2596435
2016-01-07 10:00:00,0.271,0.0,0.312195
2016-01-07 10:30:00,0.2685,0.0,0.348444
2016-01-07 11:00:00,0.266,0.0,0.384693
2016-01-07 11:30:00,0.24899999999999994,0.0,0.3785855
2016-01-07 12:00:00,0.2319999999999999,0.0,0.372478
2016-01-07 12:30:00,0.19299999999999995,0.0,0.3595275
2016-01-07 13:00:00,0.154,0.0,0.346577
2016-01-07 13:30:00,0.10499999999999995,0.0,0.375146
2016-01-07 14:00:00,0.0559999999999999,0.0,0.403715
2016-01-07 14:30:00,0.02799999999999995,0.0,0.4272505
2016-01-07 15:00:00,0.0,0.0,0.4507859999999999
2016-01-07 15:30:00,0.0,0.0,0.4298179999999999
2016-01-07 16:00:00,0.0,0.0,0.40885
2016-01-07 16:30:00,0.0,0.0,0.400037
2016-01-07 17:00:00,0.0,0.0,0.3912239999999999
2016-01-07 17:30:00,0.0,0.0,0.38931999999999994
2016-01-07 18:00:00,0.0,0.0,0.387416
2016-01-07 18:30:00,0.0,0.0,0.366286
2016-01-07 19:00:00,0.0,0.0,0.345156
2016-01-07 19:30:00,0.0,0.0,0.320104
2016-01-07 20:00:00,0.0,0.0,0.295052
2016-01-07 20:30:00,0.0,0.0,0.2893035
2016-01-07 21:00:00,0.0,0.0,0.283555
2016-01-07 21:30:00,0.0,0.0,0.29626949999999996
2016-01-07 22:00:00,0.0,0.0,0.308984
2016-01-07 22:30:00,0.0,0.0,0.307162
2016-01-07 23:00:00,0.0,0.0,0.30534
2016-01-07 23:30:00,0.0,0.0,0.298895
2016-01-08 00:00:00,0.0,0.0,0.29245
2016-01-08 00:30:00,0.0,0.0,0.292401
2016-01-08 01:00:00,0.0,0.0,0.292352
2016-01-08 01:30:00,0.0,0.0,0.285998
2016-01-08 02:00:00,0.0,0.0,0.279644
2016-01-08 02:30:00,0.0,0.0,0.255602
2016-01-08 03:00:00,0.0,0.0,0.23156
2016-01-08 03:30:00,0.0,0.0,0.2110995
2016-01-08 04:00:00,0.0,0.0,0.190639
2016-01-08 04:30:00,0.0,0.0,0.1787185
2016-01-08 05:00:00,0.0,0.0,0.166798
2016-01-08 05:30:00,0.05599999999999995,0.0,0.151283
2016-01-08 06:00:00,0.1119999999999999,0.0,0.135768
2016-01-08 06:30:00,0.18699999999999994,0.0,0.104002
2016-01-08 07:00:00,0.262,0.0,0.072236
2016-01-08 07:30:00,0.3235,0.0,0.079047
2016-01-08 08:00:00,0.385,0.0,0.085858
2016-01-08 08:30:00,0.431,0.0,0.12209400000000001
2016-01-08 09:00:00,0.477,0.0,0.15833
2016-01-08 09:30:00,0.498,0.0,0.177998
2016-01-08 10:00:00,0.519,0.0,0.197666
2016-01-08 10:30:00,0.5135000000000001,0.0,0.20507749999999994
2016-01-08 11:00:00,0.508,0.0,0.2124889999999999
2016-01-08 11:30:00,0.47150000000000003,0.0,0.20364099999999996
2016-01-08 12:00:00,0.435,0.0,0.194793
2016-01-08 12:30:00,0.369,0.0,0.144449
2016-01-08 13:00:00,0.303,0.0,0.094105
2016-01-08 13:30:00,0.216,0.0,0.077524
2016-01-08 14:00:00,0.129,0.0,0.060943
2016-01-08 14:30:00,0.0645,0.0,0.0548465
2016-01-08 15:00:00,0.0,0.0,0.04875
2016-01-08 15:30:00,0.0,0.0,0.0443715
2016-01-08 16:00:00,0.0,0.0,0.039993
2016-01-08 16:30:00,0.0,0.0,0.03836649999999995
2016-01-08 17:00:00,0.0,0.0,0.0367399999999999
2016-01-08 17:30:00,0.0,0.0,0.03537849999999995
2016-01-08 18:00:00,0.0,0.0,0.034017
2016-01-08 18:30:00,0.0,0.0,0.0347875
2016-01-08 19:00:00,0.0,0.0,0.035558
2016-01-08 19:30:00,0.0,0.0,0.03403349999999995
2016-01-08 20:00:00,0.0,0.0,0.0325089999999999
2016-01-08 20:30:00,0.0,0.0,0.03035349999999995
2016-01-08 21:00:00,0.0,0.0,0.028198
2016-01-08 21:30:00,0.0,0.0,0.0236515
2016-01-08 22:00:00,0.0,0.0,0.019105
2016-01-08 22:30:00,0.0,0.0,0.0145795
2016-01-08 23:00:00,0.0,0.0,0.010054
2016-01-08 23:30:00,0.0,0.0,0.0057475
2016-01-09 00:00:00,0.0,0.0,0.001441
2016-01-09 00:30:00,0.0,0.0,0.0007725
2016-01-09 01:00:00,0.0,0.0,0.000104
2016-01-09 01:30:00,0.0,0.0,7.649999999999999e-05
2016-01-09 02:00:00,0.0,0.0,4.9e-05
2016-01-09 02:30:00,0.0,0.0,5.7e-05
2016-01-09 03:00:00,0.0,0.0,6.500000000000001e-05
2016-01-09 03:30:00,0.0,0.0,7.6e-05
2016-01-09 04:00:00,0.0,0.0,8.7e-05
2016-01-09 04:30:00,0.0,0.0,0.000129
2016-01-09 05:00:00,0.0,0.0,0.000171
2016-01-09 05:30:00,0.0245,0.0,0.000221
2016-01-09 06:00:00,0.049,0.0,0.000271
2016-01-09 06:30:00,0.10200000000000001,0.0,0.0002315
2016-01-09 07:00:00,0.155,0.0,0.000192
2016-01-09 07:30:00,0.199,0.0,0.0006825000000000001
2016-01-09 08:00:00,0.243,0.0,0.001173
2016-01-09 08:30:00,0.2715,0.0,0.0038620000000000004
2016-01-09 09:00:00,0.3,0.0,0.006551
2016-01-09 09:30:00,0.31,0.0,0.0113795
2016-01-09 10:00:00,0.32,0.0,0.016208
2016-01-09 10:30:00,0.29,0.0,0.0210285
2016-01-09 11:00:00,0.26,0.0,0.025849
2016-01-09 11:30:00,0.21349999999999997,0.0,0.025373
2016-01-09 12:00:00,0.1669999999999999,0.0,0.024897
2016-01-09 12:30:00,0.12549999999999994,0.0,0.032848
2016-01-09 13:00:00,0.084,0.0,0.040799
2016-01-09 13:30:00,0.052000000000000005,0.0,0.056759000000000004
2016-01-09 14:00:00,0.02,0.0,0.072719
2016-01-09 14:30:00,0.01,0.0,0.0795405
2016-01-09 15:00:00,0.0,0.0,0.086362
2016-01-09 15:30:00,0.0,0.0,0.08273349999999999
2016-01-09 16:00:00,0.0,0.0,0.079105
2016-01-09 16:30:00,0.0,0.0,0.06849699999999995
2016-01-09 17:00:00,0.0,0.0,0.0578889999999999
2016-01-09 17:30:00,0.0,0.0,0.054724499999999954
2016-01-09 18:00:00,0.0,0.0,0.05156
2016-01-09 18:30:00,0.0,0.0,0.046661
2016-01-09 19:00:00,0.0,0.0,0.041762
2016-01-09 19:30:00,0.0,0.0,0.034046
2016-01-09 20:00:00,0.0,0.0,0.02633
2016-01-09 20:30:00,0.0,0.0,0.0232285
2016-01-09 21:00:00,0.0,0.0,0.020127
2016-01-09 21:30:00,0.0,0.0,0.017613999999999998
2016-01-09 22:00:00,0.0,0.0,0.015101
2016-01-09 22:30:00,0.0,0.0,0.010425
2016-01-09 23:00:00,0.0,0.0,0.005749
2016-01-09 23:30:00,0.0,0.0,0.004101499999999999
2016-01-10 00:00:00,0.0,0.0,0.002454
2016-01-10 00:30:00,0.0,0.0,0.0027735
2016-01-10 01:00:00,0.0,0.0,0.003093
2016-01-10 01:30:00,0.0,0.0,0.0032029999999999997
2016-01-10 02:00:00,0.0,0.0,0.003313
2016-01-10 02:30:00,0.0,0.0,0.001811
2016-01-10 03:00:00,0.0,0.0,0.000309
2016-01-10 03:30:00,0.0,0.0,0.0004969999999999999
2016-01-10 04:00:00,0.0,0.0,0.000685
2016-01-10 04:30:00,0.0,0.0,0.0006039999999999999
2016-01-10 05:00:00,0.0,0.0,0.000523
2016-01-10 05:30:00,0.003,0.0,0.00044
2016-01-10 06:00:00,0.006,0.0,0.000357
2016-01-10 06:30:00,0.016999999999999953,0.0,0.0003535
2016-01-10 07:00:00,0.0279999999999999,0.0,0.00035
2016-01-10 07:30:00,0.04399999999999995,0.0,0.0004045
2016-01-10 08:00:00,0.06,0.0,0.000459
2016-01-10 08:30:00,0.08099999999999999,0.0,0.0004165
2016-01-10 09:00:00,0.102,0.0,0.000374
2016-01-10 09:30:00,0.1185,0.0,0.0005129999999999499
2016-01-10 10:00:00,0.135,0.0,0.0006519999999999
2016-01-10 10:30:00,0.14800000000000002,0.0,0.0016014999999999498
2016-01-10 11:00:00,0.161,0.0,0.002551
2016-01-10 11:30:00,0.153,0.0,0.004432
2016-01-10 12:00:00,0.145,0.0,0.006313
2016-01-10 12:30:00,0.12,0.0,0.0074739999999999494
2016-01-10 13:00:00,0.095,0.0,0.0086349999999999
2016-01-10 13:30:00,0.0605,0.0,0.00644149999999995
2016-01-10 14:00:00,0.026,0.0,0.004248
2016-01-10 14:30:00,0.013,0.0,0.008275000000000001
2016-01-10 15:00:00,0.0,0.0,0.012302
2016-01-10 15:30:00,0.0,0.0,0.018963
2016-01-10 16:00:00,0.0,0.0,0.025624
2016-01-10 16:30:00,0.0,0.0,0.03362499999999995
2016-01-10 17:00:00,0.0,0.0,0.0416259999999999
2016-01-10 17:30:00,0.0,0.0,0.04397249999999995
2016-01-10 18:00:00,0.0,0.0,0.046319
2016-01-10 18:30:00,0.0,0.0,0.040883
