11:30 - 12:00,N/A,N/A,n/e,n/e,n/e,n/e,9249,0,4485,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,457,,902,,n/e,n/e,n/e,n/e,8230,,2043,0,n/e,n/e,713,,n/e,n/e,2259,,3987,269
12:00 - 12:30,N/A,N/A,n/e,n/e,n/e,n/e,9718,0,4834,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,489,,997,,n/e,n/e,n/e,n/e,8235,,2027,0,n/e,n/e,773,,n/e,n/e,2440,,3973,262
12:30 - 13:00,N/A,N/A,n/e,n/e,n/e,n/e,9804,0,5289,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,569,,986,,n/e,n/e,n/e,n/e,8233,,2042,0,n/e,n/e,739,,n/e,n/e,2522,,4053,298
13:00 - 13:30,N/A,N/A,n/e,n/e,n/e,n/e,9659,0,5244,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,639,,1021,,n/e,n/e,n/e,n/e,8242,,2041,0,n/e,n/e,704,,n/e,n/e,2809,,4330,325
13:30 - 14:00,N/A,N/A,n/e,n/e,n/e,n/e,9432,0,4866,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,647,,1035,,n/e,n/e,n/e,n/e,8234,,2040,0,n/e,n/e,615,,n/e,n/e,3016,,4523,300
14:00 - 14:30,N/A,N/A,n/e,n/e,n/e,n/e,9601,0,4337,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,652,,1037,,n/e,n/e,n/e,n/e,8236,,2034,0,n/e,n/e,526,,n/e,n/e,3186,,4827,303
14:30 - 15:00,N/A,N/A,n/e,n/e,n/e,n/e,9474,0,4359,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,638,,878,,n/e,n/e,n/e,n/e,8236,,2041,0,n/e,n/e,416,,n/e,n/e,3297,,4996,363
15:00 - 15:30,N/A,N/A,n/e,n/e,n/e,n/e,9438,0,4583,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,602,,792,,n/e,n/e,n/e,n/e,8229,,2044,0,n/e,n/e,306,,n/e,n/e,3480,,5188,418
15:30 - 16:00,N/A,N/A,n/e,n/e,n/e,n/e,9753,0,4673,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,358,,768,,n/e,n/e,n/e,n/e,8233,,2039,0,n/e,n/e,205,,n/e,n/e,3410,,5358,416
16:00 - 16:30,N/A,N/A,n/e,n/e,n/e,n/e,10897,0,4643,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,404,,704,,n/e,n/e,n/e,n/e,8239,,2035,0,n/e,n/e,103,,n/e,n/e,3605,,5548,414
16:30 - 17:00,N/A,N/A,n/e,n/e,n/e,n/e,11991,0,4873,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,566,,689,,n/e,n/e,n/e,n/e,8236,,2044,0,n/e,n/e,54,,n/e,n/e,3688,,5802,418
17:00 - 17:30,N/A,N/A,n/e,n/e,n/e,n/e,12426,0,4905,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,801,,701,,n/e,n/e,n/e,n/e,8232,,2043,0,n/e,n/e,4,,n/e,n/e,3729,,5913,413
17:30 - 18:00,N/A,N/A,n/e,n/e,n/e,n/e,12378,0,5016,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,692,,737,,n/e,n/e,n/e,n/e,8234,,2043,0,n/e,n/e,2,,n/e,n/e,3699,,5870,413
18:00 - 18:30,N/A,N/A,n/e,n/e,n/e,n/e,12262,0,4847,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,389,,743,,n/e,n/e,n/e,n/e,8231,,2007,0,n/e,n/e,0,,n/e,n/e,3707,,5937,417
18:30 - 19:00,N/A,N/A,n/e,n/e,n/e,n/e,11675,0,4734,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,410,,743,,n/e,n/e,n/e,n/e,8236,,2035,0,n/e,n/e,0,,n/e,n/e,3677,,5873,420
19:00 - 19:30,N/A,N/A,n/e,n/e,n/e,n/e,10835,0,4532,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,483,,726,,n/e,n/e,n/e,n/e,8238,,2041,0,n/e,n/e,0,,n/e,n/e,3801,,5570,411
19:30 - 20:00,N/A,N/A,n/e,n/e,n/e,n/e,9865,0,4133,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,874,,727,,n/e,n/e,n/e,n/e,8230,,2042,0,n/e,n/e,0,,n/e,n/e,3774,,5368,411
20:00 - 20:30,N/A,N/A,n/e,n/e,n/e,n/e,9533,0,3808,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,791,,727,,n/e,n/e,n/e,n/e,8234,,2028,0,n/e,n/e,0,,n/e,n/e,3775,,5383,458
20:30 - 21:00,N/A,N/A,n/e,n/e,n/e,n/e,8841,0,3438,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,454,,724,,n/e,n/e,n/e,n/e,8230,,2039,0,n/e,n/e,0,,n/e,n/e,3800,,5281,506
21:00 - 21:30,N/A,N/A,n/e,n/e,n/e,n/e,8020,0,3422,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,713,,708,,n/e,n/e,n/e,n/e,8230,,2041,0,n/e,n/e,0,,n/e,n/e,3794,,5161,490
